amerikanische americana
reduzierung redução
depression depressão
chen wang
bio bio
kommunismus comunismo
henri philippe
versionen versões
toleranz tolerância
ernte colheita
lösungen soluções
survey survey
einzelnachweise refs
bedenken dúvidas
entsprechen correspondem
channel channel
helen helen
folgt segue
tier animal
fi fi
südlich sudoeste
he he
beobachten observar
square square
singapur singapura
eddie kenny
niedriger elevadas
sängerin cantora
vegetation vegetação
letzten últimos
hinweisen sugerir
student estudante
fuhr correu
einmarsch ocupação
ungarischer húngaro
lena lena
maler pintor
bischof bispo
bruce bruce
alten antigos
gelingt conseguem
bewahren preservar
tokyo tokyo
weblinks links
hope hope
selbst próprio
buffalo buffalo
joel matthew
rechtfertigt justifica
abhängig dependendo
finnischen finlandesa
captain captain
aufweisen apresentam
genf genebra
mon mon
schwert espada
einheit unidade
kommando comando
little little
wiederaufbau reconstrução
admins administradores
publikationen publicações
grace grace
arbeiteten trabalharam
gezeigt mostrado
notwendigen necessários
weiße branca
weisheit sabedoria
verwendung utilização
reisenden viajantes
gb gb
tourismus turismo
introduction introduction
release release
einfügen inserir
täufer apóstolo
emily emily
pädagogik pedagogia
score score
top top
program program
außerhalb fora
south south
wohnte morou
haushalte domicílios
jeweils respectivamente
auge olho
erfüllung cumprimento
informatik computação
schulter ombro
führen levam
zeitgenössischen contemporâneos
rolle papel
grey grey
ottawa ottawa
michelle michelle
wiederherzustellen restaurar
offene aberto
kunst artes
paar umas
namen nome
alonso alonso
autoren autores
denken pensamento
vorort subúrbio
parma parma
anerkannten reconhecidos
volkszählung censo
ästhetik estética
fm fm
immer sempre
anstatt invés
nato otan
schlacht batalha
%b q
mittels utilizando
europameisterschaft eurocopa
liu liu
erweitern expandir
erzbistum arquidiocese
beeindruckt impressionado
achsen eixos
walter walter
g g
hotel hotel
klassifikation classificação
definierten definidos
marsch marcha
ergebnissen resultados
erschließung extensa
interessiert interessado
lehrern professores
ernest joseph
maßstab escala
master master
ss ss
kino cinema
freiburg berna
rückkehr retorno
erwerb aquisição
neutralität neutralidade
angestellten funcionários
allem principalmente
formalen formais
ontario ontário
halbinsel península
tausende centenas
reicht vale
konkurrenz concorrência
interviews entrevistas
paraguay paraguai
erforscht estudado
denis denis
change change
nissan nissan
heute hoje
denen nestas
erneuerung renovação
dei dei
historia historia
prinzipiell contrário
infolge consequência
automatisch automaticamente
beteiligung participação
pfund libras
sowjetischen soviéticos
stop stop
monaco mônaco
genealogie genealogia
helena helena
wortes palavra
artikel artigo
single single
inter inter
interessant interessante
vergleich comparação
admiral almirante
entlassen demitido
kongo congo
inside inside
» »
etablierte consolidou
wissenschaften ciências
interpretation interpretação
open open
sainte sainte
harper harper
ausüben exercer
trinidad trinidad
folk folk
bella bella
offizielle oficial
auferstehung ressurreição
traditionelle tradicional
thematik temática
und/oder e/ou
thema tema
durchzusetzen impor
verließ juntou
ft ft
ernsthaft seriamente
ressourcen recursos
donna donna
machte fez
fortsetzung continuação
louis louis
insolvenz falência
begraben enterrado
umfasst compreende
kehrte retornou
integrierten integrados
mexico mexico
briten britânicos
juden judeus
alfonso alfonso
laurent laurent
zustimmen concordar
schlüssel chave
raf raf
geplant planejado
genauer precisamente
geehrt homenageado
ähnlich semelhante
publishers publishers
wissenschaft ciência
zeigt mostra
entsperrung desbloqueio
berkeley berkeley
erde terra
dubai dubai
maximilian maximiliano
korrekte correta
bringt traz
vorträge palestras
räumlichkeiten instalações
post post
bird bird
liebt ama
geburtstag aniversário
histoire histoire
katholizismus catolicismo
disk rafaazevedo
verlässt entra
kommission comissão
befreien libertar
produzent produtor
derek derek
mad mad
informationen informações
schul escolares
rakete foguete
argument argumento
geschäft negócio
adventure adventure
nw rn
erzbischof arcebispo
gründete fundou
schlagen bater
houston houston
sprachen línguas
erhielten receberam
cold cold
durchgeführten realizados
saudi saudita
duett dueto
externe externo
krone coroa
universität universidade
reaktion reação
produkt produto
satire sátira
nd nd
dt lit
tower tower
formel fórmula
besitzen possuem
team team
erhebung elevação
lob elogios
beobachter observador
mathematiker matemático
soziale social
( )
royal royal
beiträge contribuições
étienne étienne
auftritt aparição
überschreiten ultrapassar
ablehnung rejeição
ji ji
musica musica
portal portal
abgeschnitten cortado
bezeichnet designa
grammy grammy
individuelle individuais
museum museu
bit bit
style background
beeinflussen influenciar
klavier piano
coast coast
technologien tecnologias
türken turcos
minderheiten minorias
zog voltou
debüt estréia
sorgfältig cuidadosamente
prozessor processador
hebräisch hebraico
mm mm
getroffen atingido
pilot piloto
autor autor
ältester velho
auslagerung movida
galten tornaram
alexis alexis
quo quo
bilden formam
drehbuchautor roteirista
komponenten componentes
eyes eyes
model model
nachdem depois
nun agora
föderation federação
steigerung aumento
games games
definieren definir
cd cd
schalke juventus
radikale radical
heutiger actuais
association association
bewiesen provado
augen olhos
african african
katze gato
la la
volk povo
zudem além
hinzufügen adicionar
pazifik pacífico
mexikanische mexicana
logik lógica
human human
rhein recife
organ órgão
pistole pistola
toronto toronto
pascal pascal
ausgabe edição
wrestling wrestling
aserbaidschan azerbaijão
aktivitäten atividades
ausnahme exceção
recherchieren pesquisar
saal sala
lebten viviam
doc doc
bürgern cidadãos
athletic athletic
siena siena
stärken fortalecer
£ £
christina christina
ausgestrahlt exibido
erklärt explica
kultur cultura
°c °c
perry perry
zypern chipre
norwegen noruega
gelangen chegar
divisionen divisões
begrenzten limitados
kandidaten candidatos
beweisen provar
independent independent
verloren perderam
streitkräfte armadas
willie jesse
law law
martín martín
folglich portanto
schwere pesadas
ljubljana zagreb
motoren motores
parallelen paralelos
peking pequim
davon nela
gelisteten listadas
erwähnt mencionado
école école
android android
planungen iniciadas
genommen pego
site sítio
jahrzehnte décadas
weiter continuando
people people
druck pressões
flügeln asas
besaßen possuíam
spielte atuou
cs cs
klima clima
wälder florestas
uefa uefa
ford ford
marshall marshall
bestimmten determinados
verbot proibição
aufenthalt estadia
gleich iguais
margaret margaret
hughes hughes
other other
training treino
texas texas
lewis lewis
symbol símbolo
favoriten favoritos
marina marina
his his
email email
personen pessoas
vorschlagen propor
verlieren perder
produzieren produzir
diesel diesel
modernen modernos
internen internos
stützt sustenta
bond bond
antoine antoine
boston boston
italia italia
kern núcleo
zur referida
zensur censura
schicken enviar
ankündigung anúncio
technology technology
prize prize
brooklyn brooklyn
seines sua
mitgliedern membros
willst vamos
übernahme adquirida
beschreiben descrever
offiziell oficialmente
zukünftigen futuros
phasen fases
republikanischen republicana
feind inimigo
beinhaltete incluiu
angriffen ataques
#weiterleitung #redirecionamento
einer numa
gleichermaßen tanto
verwechseln confundir
zugeteilt transferido
xp xp
inhaber detentor
machine machine
geringe pouca
mp mp
erfolg sucesso
till till
demokratische democrático
behandelte tratando
gekrönt coroado
//www //www
batterien baterias
hall hall
wandelte transformou
stattgefunden acontecido
quellen fontes
omar omar
wurden foram
listen listas
kommentar comentário
märtyrer mártir
geheime secretas
liberty liberty
versehentlich acidentalmente
sobald estiver
arbeitet trabalha
luxemburg luxemburgo
alpha alpha
flugzeugen aviões
elena elena
seele alma
flight flight
army army
beantworten responder
wand parede
bittet pede
m m
bedroht ameaçado
woman woman
funktionär dirigente
darstellungen representações
radiosender rádio
dokumentarfilm documentário
kansas kansas
rinde casca
gewinner ganhador
produkten produtos
jesuiten jesuítas
abdul abdul
malaysia malásia
forbes forbes
kompliziert complicado
kanal canal
now now
großmutter avó
entstand originou
unteren inferior
derselben mesma
virginia virginia
umstrittene polêmico
iss iss
benutzten usavam
verkaufte vendeu
gewählt eleito
viele muitas
meisten maioria
vorliegen haver
galerien galerias
andré pierre
produktion produção
ms ms
paradise paradise
gründeten fundaram
nachzuweisen comprovar
orientierung orientação
früh cedo
sonne sol
youth youth
weißen brancos
illustration ilustração
grundlegenden fundamentais
line line
hd hd
österreichische austríaca
direktor diretor
armut pobreza
rapper rapper
bewegung movimento
gp gp
fifa fifa
präsident presidente
schlachten batalhas
schickte enviou
existierten existiam
brot pão
ausbau ampliação
bobby bobby
kulturelles cultural
wirkte desempenhou
taucht aparece
neuausgabe vols
sri sri
malerei pintura
waffen armas
schumacher schumacher
starken fortes
million milhão
kalifornien califórnia
syntax sintaxe
cannes cannes
trennung separação
führt conduz
vater pai
truppe tropa
editieren editar
amerikaner americanos
spiegelt reflete
seltsam estranho
zitat citação
erhielt recebeu
marketing marketing
make make
spin spin
modifiziert modificado
melodie melodia
wurzel raiz
trio trio
relevanten relevantes
head head
häufig frequentemente
verliehen agraciado
ea ea
staatsangehörigkeit nacionalidade
großen grandes
shows shows
beschränkung limitação
letztmals daquele
angela angela
verstorben falecido
bonifatius bonifácio
benachbarten vizinhos
besiegte derrotou
einberufen convocado
erzielten ganhos
ehefrau esposa
arkansas arkansas
who who
javier javier
bemerkt percebe
slowenien eslovênia
ray ray
wohnung apartamento
denke acho
story story
hieß chamava
abbau degradação
beta beta
teil parte
championships championships
folter tortura
vorbild moldes
höheren superiores
existiert existe
lin lin
mission missão
nachhaltig contribuindo
beleg comprova
pferden cavalos
einladung convite
später posteriormente
national national
lässt tende
nintendo nintendo
setzen pôr
common common
kandidat candidato
ga ga
dissertation dissertação
spekulationen especulações
aaron aaron
rauch fumaça
bibel bíblia
nicht não
sowjetische soviético
aktiven ativos
nad nad
betreten entrar
bruder irmão
krim crimeia
juan juan
avancierte tornou
lösen resolver
mangelnde falta
moderator apresentador
mexiko méxico
historische históricas
besetzt ocupado
anerkannt reconhecido
dave neil
invasion invasão
act act
lehrer aluno
publikation publicação
meter metros
hauptgürtels asteróide
α α
annalen anais
liegt situa
danke grato
creek creek
widmete dedicou
‎edit list
altar altar
clay clay
circle circle
aufgeführt incluído
unterdrückung supressão
mädchen meninas
beverly beverly
mittlerer médio
jude judeu
peak peak
giorgio giorgio
kräfte força
anti anti
maus mouse
parallele paralela
zentral central
dass que
airways airways
konzipiert concebido
statistiken estatísticas
reiste viajou
zellen células
garden garden
vorteile vantagens
jpg jpg
gespräche conversas
verschwindet desaparece
minister ministro
ausreichend suficiente
jugendlichen adolescentes
verlangt exige
argentinien argentina
son son
max max
akademischer académica
israel israel
chicago chicago
sitzungen reuniões
erinnerungen memórias
patient paciente
awards awards
spannungen tensões
wurde foi
übernahm assumiu
abgelehnt rejeitado
verlage editoras
marokko marrocos
opern óperas
europäischen europeia
burke burke
frank peter
niederlande holanda
rolling rolling
freundschaft amizade
med med
seattle seattle
geologie geologia
berater consultor
river river
konzerten concertos
dark dark
bonaparte bonaparte
kalten fria
figuren figuras
jim jim
price price
ok ok
montreal montreal
thomas dalton
seed seed
mörder assassino
disziplinen modalidades
ausgelöst causado
verschwand desapareceu
night night
collection collection
blei chumbo
gefolgt seguido
welle onda
pater padre
unseren nossos
besiegen derrotar
vermutet acredita
geschwindigkeit velocidade
absatz parágrafo
kategorisierung categorização
darwin darwin
newcastle newcastle
zustimmung aprovação
stuart stuart
lou lou
flag flag
telefon telefone
etwa cerca
… …
front front
ausführen executar
review review
women women
männern homens
siedlungen povoados
lost lost
programm programa
graham graham
drogen drogas
ausgestorben extinto
bären urso
lokomotiven locomotivas
kompetenz competência
weise maneiras
erwähnen citar
beginn início
sozialismus socialismo
dienst serviço
homo homo
traditionen tradições
daily daily
übersetzer tradutor
sichtbar visível
elias elias
grünen verdes
frauen mulheres
madrid madrid
politischen políticos
kapazität capacidade
schiffen navios
sturz queda
hektar hectares
sollten deveriam
section section
wählen escolher
cross cross
damen masculinas
eva aline
fördert promove
talk bisbis
einbrachte rendeu
bühne palco
nur apenas
mütter mães
durfte passou
frankfurt frankfurt
sea sea
hervorzuheben destaca
sebastian sebastian
einflüsse influências
seelen almas
darzustellen mostrar
nordkorea coreia
comedy comedy
anna maria
nahe próximo
gesellschaften sociedades
argumenten argumentos
ethik ética
ballett balé
erklärungen explicações
aufgrund devido
produziert produzido
vielfältigen variados
erlernte aprendeu
basilika basílica
water water
design design
leiten conduzir
gesehen visto
maritime maritime
montiert montado
entdeckten descobriram
zeitschrift revista
tabelle tabela
schnelle rápido
rl pb
zwanzig trinta
agierte atuando
verteidiger defensor
vs vs
delta delta
most most
samstag sábado
händen mãos
zaren czar
vorgeworfen acusado
george george
existenz existência
gruppe grupo
funktionen funções
talent talento
apostolischer apostólico
washington washington
kindheit infância
heiß quente
mein meu
seltsame estranha
verletzt gravemente
armstrong armstrong
gezwungen forçado
anton anton
carter carter
besitzt possui
auswahl selecção
young young
experimentelle experimental
diese deste
lieferte forneceu
gesprochen falado
gebet oração
sun sun
magnus magnus
wirft levanta
chang chang
spirit spirit
großbritannien unido
möglicherweise provavelmente
angebliche suposta
maya maya
besetzten ocupados
fontsize fontsize
mississippi mississippi
trat ingressou
regierte governou
fliegen voar
benzin gasolina
erreichen alcançar
olympic olympic
bekanntgegeben anunciado
philipp filipe
hunt hunt
gestattet permitido
club club
diktatur ditadura
perspektiven perspectivas
prinzip princípio
th th
air air
mathematics mathematics
this because
kritik críticas
gedacht pensado
co co
michele michele
sozialistische socialista
sofort imediatamente
kopiert copiado
komplexen complexos
old old
innerhalb dentro
logistik logística
staub poeira
positionen posições
illinois iowa
piraten piratas
werke obras
fühlte sentia
tür porta
liefert fornece
eröffnete inaugurou
evans evans
type type
block bloco
geschützten protegidos
kette cadeia
philosophen filósofos
konsum consumo
variieren variam
kümmern cuidar
feste fixa
direkter directa
bestimmte determinadas
möglichkeiten possibilidades
mögen gostam
übersetzungen traduções
gelegenheit oportunidade
angenommen sugerido
unterschiedlichen diferentes
situation situação
navy navy
sofortige imediata
frederick frederick
mantel manto
sex sex
patente patentes
optik óptica
vierzig quarenta
rebellen rebeldes
ökologische ecológica
vorübergehend temporariamente
fähigkeiten habilidades
weiblichen femininos
illustrationen ilustrações
fürstentum principado
montgomery montgomery
fr fr
turnieren torneios
bergbau mineração
tel tel
kaukasus cáucaso
häufigen frequentes
panorama panorama
malta malta
haben têm
verona verona
web web
erzeugt gera
gelben amarelos
biologische biológica
stone stone
free free
$ $
bb bb
infektion infecção
two two
franklin franklin
egal importa
wu wu
- -
asia asia
durch por
münzen moedas
vollständige completa
logische lógico
hinter atrás
integriert integrado
regelmäßigen regulares
zeichnen desenhar
dieselben mesmas
pisa pisa
samt abrantes
erfordert requer
sondern unicamente
journalismus jornalismo
pferd cavalo
ruhestand aposentou
all all
copyright copyright
geräten aparelhos
tunesien tunísia
grant grant
magazine magazine
marcel marcel
geld dinheiro
beschränkt restrito
französischer francês
entschieden decidido
reform reforma
beobachtungen observações
verzeichnet registra
mien koehne
plätzen lugares
champion champion
nutzern usuários
übersetzt traduzido
strauss strauss
sche conhecido_por
mai maio
nobelpreis nobel
kaufen comprar
senders emissora
challenger challenger
bedürfnisse necessidades
litt sofria
töchter filhas
crazy crazy
schicht camada
hohen altos
st st
wirklichkeit realidade
haare cabelo
bestimmung determinação
hinreichend suficientemente
kurzfilm metragem
geändert alterado
belgrad belgrado
durchschnitt média
cm cm
po po
pp pp
monat mês
verfolgung perseguição
qualität qualidade
punkt ponto
ging mudou
schreibt escreve
architekten arquitetos
ungefähr aproximadamente
rahmen âmbito
thematisiert aborda
saisons temporadas
bryan cameron
antworten respostas
apache apache
aussterben extinção
manche costumam
vergleichen comparar
formeln fórmulas
jersey jersey
großvater avô
messen medir
miles miles
einigen alguns
alexandra alexandra
inhalten conteúdos
übergeben entregue
fall caso
resolution resolução
durchquert atravessa
pfälzischen pernambucana
verbindung ligação
airlines airlines
thomson thomson
bukarest bucareste
bi bi
karen karen
lu lu
ernannte nomeou
bord bordo
bau construção
beginnt inicia
keines nenhum
originaltitel precedido_por
devil devil
bayer bayer
hat tem
garcía garcía
held herói
laura laura
gebäude edifício
nebendarsteller coadjuvante
dezember dezembro
benutzte usou
negativen negativos
benjamin benjamin
kameras câmeras
sternbild constelação
nachrichten notícias
interessierten interessados
fine fine
zeitgenössische contemporânea
pas pas
witwe viúva
begriff termo
briefmarken selos
strategische estratégica
laser laser
orthodoxen ortodoxa
ausgezeichnet premiado
abraham abraham
kopien cópias
> >
antwerpen antuérpia
j j
sätzen parciais
chemischen químicos
entschuldigung desculpas
kugel cubo
anime anime
baltimore baltimore
ausländischer estrangeiro
basic basic
search search
kommerziell comercialmente
sämtliche todas
universidad universidad
darunter dentre
verlassen sair
papst papa
sonntag domingo
problem problema
details detalhes
sa sa
elektrischen elétricos
verstärken reforçar
tokio tóquio
eine uma
agentur agência
vermerkt consta
smith smith
struktur estrutura
harrison harrison
diplomat diplomata
gefahr perigo
handelt trata
reduzieren reduzir
dunkelheit escuridão
hier aqui
brand incêndio
nahrung alimento
urv vda
jahrhundert xvii
adel nobreza
tisch mesa
pius pio
ted ted
president president
platin platina
identifiziert identificado
legt retira
bergwerk mina
möglichkeit possibilidade
angel angel
frost frost
ländlichen rurais
heutige actual
eingriffe intervenções
geburt nascimento
unit unit
hampshire hampshire
dreharbeiten filmagens
form forma
eigentlichen propriamente
university university
notre notre
lutherische luterana
unterschrieb assinou
unabhängigkeit independência
word word
erläutern esclarecer
string string
mailand milão
syrien síria
verbrannt queimado
chinese chinese
boeing boeing
tee chá
cbs cbs
solche essas
mario mario
gewisse certa
gesellschaft sociedade
artist artist
energien energias
krankenhaus hospital
pyramide pirâmide
verantwortlich responsável
überleben sobreviver
deutet sugere
verwandelt transforma
wörtlich literalmente
michail mikhail
plant planeja
modellen modelos
rollen papéis
angelegenheiten assuntos
p p
wikipedia wiki
got got
billy billy
explizit explicitamente
zweiten segunda
satellit satélite
conference conference
stadtteilen bairros
iran irã
scorecard spl
keineswegs evidentemente
elsass alsácia
behandeln tratar
möglichen possíveis
öl óleo
carmen carmen
entwickelte desenvolveu
sei afirmando
things things
bogen cruzado
pause pausa
cox cox
challenge challenge
peace peace
ghana gana
electric electric
kammern câmaras
foundation foundation
van van
hauptquartier quartel
theater teatro
physiologie fisiologia
first first
were were
verkörpert interpreta
montenegro montenegro
sind são
best best
gegensatz diferentemente
butler butler
imdb imdb
t t
russische russa
gehören pertencem
inge ingrid
seinen seus
prozess processo
heart heart
edition edition
verlust perda
zorn ira
bbc bbc
stirbt morre
luise amélia
haut pele
eishockey hóquei
howard howard
hersteller fabricante
hergestellten fabricados
leuchtturm farol
kommunisten comunistas
traum sonho
dessen cuja
marion marion
verkauft vendido
dublin dublin
notwendigkeit necessidade
anderer noutras
catherine catherine
zuerst primeiramente
todd todd
genossenschaft cooperativa
platzierung colocação
wesentlichen basicamente
etymologie etimologia
date date
morgan morgan
konnten puderam
stephen andrew
sarah sarah
oval oval
indirekt indiretamente
brooks dixon
anschließend seguida
höhlen cavernas
google google
identisch idêntico
antenne antena
self self
erreichte alcançou
gearbeitet trabalhado
küche cozinha
kurven curvas
& &
erkennbare evidencia
hk fk
ständig constantemente
apotheke farmácia
allianz aliança
menge quantidade
late late
gelesen lido
schätzungen estimativas
eduard eduardo
grün verde
möchtest pretendo
mineral mineral
reference reference
u u
children children
campus campus
serben sérvios
mother mother
portland portland
school school
summe soma
kündigte anunciou
habt tenho
fahrzeugen carros
bush bush
schuld culpa
beziehungen relações
spenden doações
neuerungen inovações
ko ko
klicken clicar
eröffnen abrir
schießen atirar
wissenschaftlichen científicos
said said
häufige frequente
willen vontade
daran nele
morris morris
maps maps
astronomie astronomia
terminal terminal
lucy betty
behandlung tratamento
zugänglich acessível
finanzen finanças
one one
champions champions
planeten planetas
musical musical
chinesen chineses
## ##
publications publications
freundschaftsspiel amistoso
gleichnamigen homônima
redakteur redator
plural plural
adelaide adelaide
senegal senegal
ukraine ucrânia
verbrechen crimes
natürlichen naturais
verliert perde
berichtete relatou
fokus foco
aussprache pronúncia
beitragen contribuir
rechtlich legalmente
baum árvore
waldes floresta
genauigkeit precisão
mozart mozart
geographischen geográficos
northern northern
achse eixo
premio premio
motion motion
initiierte promoveu
gedichten poemas
christmas christmas
koordinaten coordenadas
japanischen japonesa
kompositionen composições
summer summer
jupiter saturno
autorin autora
jonathan jonathan
bourbon bourbon
pavillon pavilhão
ceo ceo
schrieb escreveu
production production
erreichten alcançaram
duo duo
anne anne
medaillen medalhas
niederländische holandesa
weitaus mais
wurzeln raízes
illustriert ilustrado
keyboard teclado
standard standard
bezüglich respeito
biologischen biológicos
konvention convenção
entscheiden decidir
blut sangue
messung medição
and and
erzählung conto
patienten pacientes
beziehen referem
asien ásia
systematische sistemática
/ /
md md
handeln agir
fördern estimular
republik república
torschützenkönig artilheiro
snow snow
materialien materiais
news news
verkauf venda
picture picture
edge edge
erworben adquirido
blues blues
hitler hitler
nick nick
soziologie sociologia
bringen trazer
denn porque
zerstören destruir
wellen ondas
mitglied membro
etc etc
linux linux
sky sky
adler águia
konsequenzen consequências
repertoire repertório
nachkommen descendentes
erhält obtém
westminster westminster
interview entrevista
right none
angels angels
teufel diabo
vorhandenen existentes
nahezu praticamente
atlas atlas
lehrte lecionou
büchern livros
ehrenmitglied honorário
pop pop
ideologie ideologia
psychische mental
verhalten comportamento
intellektuellen intelectuais
erben herdeiros
große grande
schema esquema
gate gate
lebens vida
zurzeit atualmente
schatz tesouro
· •
return return
mythen mitos
flöte flauta
chip chip
kurzzeitig brevemente
donau danúbio
geschichte história
größe tamanho
ian ian
rache vingança
legende lenda
bekannt conhecido
fotos fotos
florence florence
tan tan
singt canta
jährlich anualmente
andrews andrews
färbung coloração
individuum indivíduo
en en
blood blood
singles singles
sony sony
vincent vincent
computer computador
sound sound
karte mapa
stadien estádios
sub sub
pseudo pseudo
erdbeben terremoto
gif gif
freiwilliger voluntário
! !
fish fish
einige algumas
hit hit
lord lorde
eugene eugene
prosa prosa
language language
empfehlungen recomendações
sin sin
konsens consenso
sauerstoff oxigênio
col col
öffentlichen públicos
dauerte durou
rumänische romeno
frühling primavera
hauptstadt capital
development development
dennis dennis
glaubte acreditava
thailand tailândia
song song
jugend juventude
fragt pergunta
weber weber
schien parecia
verbessern melhorar
alfa alfa
verursachte causou
späte tardia
waren eram
frankreich frança
haltung postura
flammen chamas
kugeln bolas
? ?
nm nm
bowl bowl
referendum referendo
landsmann compatriota
debütierte estreou
amsterdam amsterdã
kämpfte lutou
wirtschaftlich economicamente
verbündeten aliados
ländern países
korrigiert corrigido
andrew harris
turin turim
zeugnis testemunho
verbundenen ligados
mars mars
council council
bonn bonn
schwierigkeiten dificuldades
signal sinal
early early
opera opera
setzt vem
erzählungen contos
neues novo
gleiches outro
germain germain
bedingungen condições
substanz substância
etappen etapas
unterstützen apoiar
columbia columbia
begleitete acompanhou
ländereien terras
over over
brunswick brunswick
flash flash
langsam lentamente
dog dog
führte conduziu
sekunden segundos
polizei polícia
kopie cópia
studios estúdios
potter potter
milton milton
making making
georges georges
mercedes mercedes
frequenz frequência
mount mount
vollständig parcialmente
kamerun camarões
white green
ziel objetivo
korrekt correto
mal fui
neuseeland zelândia
kreuzzug cruzada
löschen apagar
geographic geographic
verteidigen defender
days days
japan japão
oper ópera
gewidmet dedicado
texten textos
eigentümer proprietário
simple simple
stimmen votos
mythologie mitologia
metal metal
knochen ossos
ähnlichkeiten semelhanças
rom roma
dirigent maestro
mechanismen mecanismos
vorwort prefácio
geäußert questionado
table table
xiii xii
gibt há
verheiratet casado
notwendige necessária
markt mercado
kreuzberg tadeu
sache coisa
steel steel
lee lee
oblast oblast
luna luna
endet termina
nationen nações
jungfrau virgem
exemplar exemplar
wählte escolheu
won won
queens queens
touristen turistas
tatsächlichen mesmos
theatre theatre
städte cidades
jedoch porém
value value
paper paper
¿disk lechatjaune
angriff ataque
humor humor
rocky rocky
wann sabe
kreisen círculos
finanzieren financiar
wings wings
musste precisou
indian indian
holz madeira
enrico enrico
chelsea chelsea
argentinischer argentino
ausmachen constituem
sowie destacam
behauptungen afirmações
station estação
verletzung lesão
al al
schritt passo
bevorzugen preferem
wind vento
äthiopien etiópia
anführer líder
automobilrennfahrer automobilista
morgens manhã
gründer fundador
vorgeschlagen proposto
bull bull
rome rome
gegenstand objecto
pearl pearl
umfangreich extenso
isabella isabella
erheblich consideravelmente
unzählige inúmeras
vaterland pátria
hochgeladen carregado
ladung carga
in em
ähnlichen semelhantes
verurteilt condenado
than than
tommy tommy
übersetzung tradução
brücke ponte
download download
überlebte sobreviveu
sommerspielen olímpicos
stattfanden aconteceram
dna adn
gleichzeitig simultaneamente
hund cão
gemeinschaft comunidade
arabien arábia
dient serve
verfolgen perseguir
cruz higgins
bros bros
modus modos
adligen nobres
roter vermelha
madame madame
ha ha
studies studies
admtype subdivisão_tipo
grund razão
ausdrücke expressões
adam adam
experten especialistas
übrig resta
toni toni
hoher alto
security security
romanen romances
begeben levá
gesicht rosto
anlass ocasião
schlafen dormir
charts charts
powiat gmina
upon upon
mt mt
† local_morte
goethe camões
haven haven
spektrum espectro
präsentieren apresentar
studentenverbindung fraternidade
brauch costume
tieren animais
gemäss conforme
lie lie
büros escritórios
bemühungen esforços
calais calais
philosoph filósofo
tatsache fato
berühmt famoso
kult culto
hergestellt fabricado
. .
gespielt jogado
arzt médico
worden sido
press press
behauptet alega
rosa rosa
strömungen correntes
dann então
werkzeuge ferramentas
lgupdate tupdate
fotografien fotografias
könig rei
jener daquela
ot br
schwedische sueca
strikt estritamente
keramik cerâmica
meinungen opiniões
politikerin conjuge
demokraten democratas
solid solid
medizin medicina
shi shi
mannschaft equipe
cut cut
schoss acertou
debatten debates
freigelassen libertado
gute ótima
stunde hora
hatte tinha
kriege guerras
intervention intervenção
alleine sozinho
erleichtert facilita
simpson simpson
herzogin duquesa
zusammenarbeit colaboração
lobte elogiou
weißrussland bielorrússia
flugzeug avião
leiterin diretora
millionen milhões
franche comté
absolute absoluta
konferenzen conferências
erklärung explicação
mönche monges
nazi nazi
missionar missionário
reduziert reduzido
zahlen reais
archäologie arqueologia
regime regime
diskriminierung discriminação
barock barroco
chile chile
insel ilha
treffen encontro
glanz brilho
sexuelle sexuais
erwähnung menção
wohlstand prosperidade
by by
belagerung cerco
befördert promovido
vergangenen últimas
bey ali
film filme
strafrecht penal
konzeption concepção
wählt escolhe
objekten objetos
papua papua
spitzen pontas
± ±
rhetorik retórica
nominierung indicação
wirtschaftswissenschaftler economista
justice justice
adrian adrian
regionale regional
spanischen espanhola
antwort resposta
herzöge duques
füßen pés
klubs clubes
comics quadrinhos
republic republic
ignorieren ignorar
musikvideo videoclipe
bolivien bolívia
light light
sklaven escravos
vorgaben diretrizes
winter inverno
schiff navio
sheffield sheffield
ausländischen estrangeiros
durchführen realizar
ai ai
stefano stefano
conrad carl
sahen viram
schatten sombra
umbenannt renomeado
japanese japanese
behaupten afirmar
bibliotheken bibliotecas
aufgabe tarefa
neuere modernas
march march
angst medo
flüssen rios
jugoslawien iugoslávia
definiert definido
linien linhas
fähigkeit habilidade
korrigieren corrigir
schichten camadas
neutral neutro
rektor reitor
yale yale
verfassung constituição
fassade fachada
webseite site
kinos cinemas
monaten meses
beschrieben descrito
facebook facebook
fotograf fotógrafo
flying flying
verleiht confere
schottischer escocês
gottheit divindade
studien estudos
plädiere proponho
gouverneur governador
familien famílias
wta wta
militärischen militares
glocke sino
zdf sbt
sieg vitória
männlichen masculinos
unterhielt mantinha
mongolei mongólia
winston winston
müssen precisam
elektronen elétrons
abstammung ascendência
analyse análise
sehr muito
mönch monge
verfügbar disponível
elfmeterschießen pênaltis
suchen procurar
geheimnis segredo
präsidenten presidentes
gefangenschaft cativeiro
québec quebec
fu fu
trennte separou
wunsch desejo
ge ti
worte palavras
coach coach
grafik gráfico
ironie ironia
trennen separar
leichtathletik atletismo
arm braço
w w
ungarn hungria
inhalt conteúdo
born born
titel título
mathematik matemática
soldat soldado
archiv arquivo
psychologie psicologia
sechste oitavo
tätigkeit exercendo
cambridge cambridge
problemen problemas
davis davis
end end
höhere superior
bang bang
show show
motorsport automobilismo
baptiste baptiste
bildeten formavam
griechischen grega
lernt conhece
entdeckte descobriu
, ,
fertigstellung concluída
