americana amerikanische
redução reduzierung
depressão depression
wang chen
bio bio
comunismo kommunismus
philippe henri
versões versionen
tolerância toleranz
colheita ernte
soluções lösungen
survey survey
refs einzelnachweise
dúvidas bedenken
correspondem entsprechen
channel channel
helen helen
segue folgt
animal tier
fi fi
sudoeste südlich
he he
observar beobachten
square square
singapura singapur
kenny eddie
elevadas niedriger
cantora sängerin
vegetação vegetation
últimos letzten
sugerir hinweisen
estudante student
correu fuhr
ocupação einmarsch
húngaro ungarischer
lena lena
pintor maler
bispo bischof
bruce bruce
antigos alten
conseguem gelingt
preservar bewahren
tokyo tokyo
links weblinks
hope hope
próprio selbst
buffalo buffalo
matthew joel
justifica rechtfertigt
dependendo abhängig
finlandesa finnischen
captain captain
apresentam aufweisen
genebra genf
mon mon
espada schwert
unidade einheit
comando kommando
little little
reconstrução wiederaufbau
administradores admins
publicações publikationen
grace grace
trabalharam arbeiteten
mostrado gezeigt
necessários notwendigen
branca weiße
sabedoria weisheit
utilização verwendung
viajantes reisenden
gb gb
turismo tourismus
introduction introduction
release release
inserir einfügen
apóstolo täufer
emily emily
pedagogia pädagogik
score score
top top
program program
fora außerhalb
south south
morou wohnte
domicílios haushalte
respectivamente jeweils
olho auge
cumprimento erfüllung
computação informatik
ombro schulter
levam führen
contemporâneos zeitgenössischen
papel rolle
grey grey
ottawa ottawa
michelle michelle
restaurar wiederherzustellen
aberto offene
artes kunst
umas paar
nome namen
alonso alonso
autores autoren
pensamento denken
subúrbio vorort
parma parma
reconhecidos anerkannten
censo volkszählung
estética ästhetik
fm fm
sempre immer
invés anstatt
otan nato
batalha schlacht
q %b
utilizando mittels
eurocopa europameisterschaft
liu liu
expandir erweitern
arquidiocese erzbistum
impressionado beeindruckt
eixos achsen
walter walter
g g
hotel hotel
classificação klassifikation
definidos definierten
marcha marsch
resultados ergebnissen
extensa erschließung
interessado interessiert
professores lehrern
joseph ernest
escala maßstab
master master
ss ss
cinema kino
berna freiburg
retorno rückkehr
aquisição erwerb
neutralidade neutralität
funcionários angestellten
principalmente allem
formais formalen
ontário ontario
península halbinsel
centenas tausende
vale reicht
concorrência konkurrenz
entrevistas interviews
paraguai paraguay
estudado erforscht
denis denis
change change
nissan nissan
hoje heute
nestas denen
renovação erneuerung
dei dei
historia historia
contrário prinzipiell
consequência infolge
automaticamente automatisch
participação beteiligung
libras pfund
soviéticos sowjetischen
stop stop
mônaco monaco
genealogia genealogie
helena helena
palavra wortes
artigo artikel
single single
inter inter
interessante interessant
comparação vergleich
almirante admiral
demitido entlassen
congo kongo
inside inside
» »
consolidou etablierte
ciências wissenschaften
interpretação interpretation
open open
sainte sainte
harper harper
exercer ausüben
trinidad trinidad
folk folk
bella bella
oficial offizielle
ressurreição auferstehung
tradicional traditionelle
temática thematik
e/ou und/oder
tema thema
impor durchzusetzen
juntou verließ
ft ft
seriamente ernsthaft
recursos ressourcen
donna donna
fez machte
continuação fortsetzung
louis louis
falência insolvenz
enterrado begraben
compreende umfasst
retornou kehrte
integrados integrierten
mexico mexico
britânicos briten
judeus juden
alfonso alfonso
laurent laurent
concordar zustimmen
chave schlüssel
raf raf
planejado geplant
precisamente genauer
homenageado geehrt
semelhante ähnlich
publishers publishers
ciência wissenschaft
mostra zeigt
desbloqueio entsperrung
berkeley berkeley
terra erde
dubai dubai
maximiliano maximilian
correta korrekte
traz bringt
palestras vorträge
instalações räumlichkeiten
post post
bird bird
ama liebt
aniversário geburtstag
histoire histoire
catolicismo katholizismus
rafaazevedo disk
entra verlässt
comissão kommission
libertar befreien
produtor produzent
derek derek
mad mad
informações informationen
escolares schul
foguete rakete
argumento argument
negócio geschäft
adventure adventure
rn nw
arcebispo erzbischof
fundou gründete
bater schlagen
houston houston
línguas sprachen
receberam erhielten
cold cold
realizados durchgeführten
saudita saudi
dueto duett
externo externe
coroa krone
universidade universität
reação reaktion
produto produkt
sátira satire
nd nd
lit dt
tower tower
fórmula formel
possuem besitzen
team team
elevação erhebung
elogios lob
observador beobachter
matemático mathematiker
social soziale
) (
royal royal
contribuições beiträge
étienne étienne
aparição auftritt
ultrapassar überschreiten
rejeição ablehnung
ji ji
musica musica
portal portal
cortado abgeschnitten
designa bezeichnet
grammy grammy
individuais individuelle
museu museum
bit bit
background style
influenciar beeinflussen
piano klavier
coast coast
tecnologias technologien
turcos türken
minorias minderheiten
voltou zog
estréia debüt
cuidadosamente sorgfältig
processador prozessor
hebraico hebräisch
mm mm
atingido getroffen
piloto pilot
autor autor
velho ältester
movida auslagerung
tornaram galten
alexis alexis
quo quo
formam bilden
roteirista drehbuchautor
componentes komponenten
eyes eyes
model model
depois nachdem
agora nun
federação föderation
aumento steigerung
games games
definir definieren
cd cd
juventus schalke
radical radikale
actuais heutiger
association association
provado bewiesen
olhos augen
african african
gato katze
la la
povo volk
além zudem
adicionar hinzufügen
pacífico pazifik
mexicana mexikanische
lógica logik
human human
recife rhein
órgão organ
pistola pistole
toronto toronto
pascal pascal
edição ausgabe
wrestling wrestling
azerbaijão aserbaidschan
atividades aktivitäten
exceção ausnahme
pesquisar recherchieren
sala saal
viviam lebten
doc doc
cidadãos bürgern
athletic athletic
siena siena
fortalecer stärken
£ £
christina christina
exibido ausgestrahlt
explica erklärt
cultura kultur
°c °c
perry perry
chipre zypern
noruega norwegen
chegar gelangen
divisões divisionen
limitados begrenzten
candidatos kandidaten
provar beweisen
independent independent
perderam verloren
armadas streitkräfte
jesse willie
law law
martín martín
portanto folglich
pesadas schwere
zagreb ljubljana
motores motoren
paralelos parallelen
pequim peking
nela davon
listadas gelisteten
mencionado erwähnt
école école
android android
iniciadas planungen
pego genommen
sítio site
décadas jahrzehnte
continuando weiter
people people
pressões druck
asas flügeln
possuíam besaßen
atuou spielte
cs cs
clima klima
florestas wälder
uefa uefa
ford ford
marshall marshall
determinados bestimmten
proibição verbot
estadia aufenthalt
iguais gleich
margaret margaret
hughes hughes
other other
treino training
texas texas
lewis lewis
símbolo symbol
favoritos favoriten
marina marina
his his
email email
pessoas personen
propor vorschlagen
perder verlieren
produzir produzieren
diesel diesel
modernos modernen
internos internen
sustenta stützt
bond bond
antoine antoine
boston boston
italia italia
núcleo kern
referida zur
censura zensur
enviar schicken
anúncio ankündigung
technology technology
prize prize
brooklyn brooklyn
sua seines
membros mitgliedern
vamos willst
adquirida übernahme
descrever beschreiben
oficialmente offiziell
futuros zukünftigen
fases phasen
republicana republikanischen
inimigo feind
incluiu beinhaltete
ataques angriffen
#redirecionamento #weiterleitung
numa einer
tanto gleichermaßen
confundir verwechseln
transferido zugeteilt
xp xp
detentor inhaber
machine machine
pouca geringe
mp mp
sucesso erfolg
till till
democrático demokratische
tratando behandelte
coroado gekrönt
//www //www
baterias batterien
hall hall
transformou wandelte
acontecido stattgefunden
fontes quellen
omar omar
foram wurden
listas listen
comentário kommentar
mártir märtyrer
secretas geheime
liberty liberty
acidentalmente versehentlich
estiver sobald
trabalha arbeitet
luxemburgo luxemburg
alpha alpha
aviões flugzeugen
elena elena
alma seele
flight flight
army army
responder beantworten
parede wand
pede bittet
m m
ameaçado bedroht
woman woman
dirigente funktionär
representações darstellungen
rádio radiosender
documentário dokumentarfilm
kansas kansas
casca rinde
ganhador gewinner
produtos produkten
jesuítas jesuiten
abdul abdul
malásia malaysia
forbes forbes
complicado kompliziert
canal kanal
now now
avó großmutter
originou entstand
inferior unteren
mesma derselben
virginia virginia
polêmico umstrittene
iss iss
usavam benutzten
vendeu verkaufte
eleito gewählt
muitas viele
maioria meisten
haver vorliegen
galerias galerien
pierre andré
produção produktion
ms ms
paradise paradise
fundaram gründeten
comprovar nachzuweisen
orientação orientierung
cedo früh
sol sonne
youth youth
brancos weißen
ilustração illustration
fundamentais grundlegenden
line line
hd hd
austríaca österreichische
diretor direktor
pobreza armut
rapper rapper
movimento bewegung
gp gp
fifa fifa
presidente präsident
batalhas schlachten
enviou schickte
existiam existierten
pão brot
ampliação ausbau
bobby bobby
cultural kulturelles
desempenhou wirkte
aparece taucht
vols neuausgabe
sri sri
pintura malerei
armas waffen
schumacher schumacher
fortes starken
milhão million
califórnia kalifornien
sintaxe syntax
cannes cannes
separação trennung
conduz führt
pai vater
tropa truppe
editar editieren
americanos amerikaner
reflete spiegelt
estranho seltsam
citação zitat
recebeu erhielt
marketing marketing
make make
spin spin
modificado modifiziert
melodia melodie
raiz wurzel
trio trio
relevantes relevanten
head head
frequentemente häufig
agraciado verliehen
ea ea
nacionalidade staatsangehörigkeit
grandes großen
shows shows
limitação beschränkung
daquele letztmals
angela angela
falecido verstorben
bonifácio bonifatius
vizinhos benachbarten
derrotou besiegte
convocado einberufen
ganhos erzielten
esposa ehefrau
arkansas arkansas
who who
javier javier
percebe bemerkt
eslovênia slowenien
ray ray
apartamento wohnung
acho denke
story story
chamava hieß
degradação abbau
beta beta
parte teil
championships championships
tortura folter
moldes vorbild
superiores höheren
existe existiert
lin lin
missão mission
contribuindo nachhaltig
comprova beleg
cavalos pferden
convite einladung
posteriormente später
national national
tende lässt
nintendo nintendo
pôr setzen
common common
candidato kandidat
ga ga
dissertação dissertation
especulações spekulationen
aaron aaron
fumaça rauch
bíblia bibel
não nicht
soviético sowjetische
ativos aktiven
nad nad
entrar betreten
irmão bruder
crimeia krim
juan juan
tornou avancierte
resolver lösen
falta mangelnde
apresentador moderator
méxico mexiko
históricas historische
ocupado besetzt
reconhecido anerkannt
neil dave
invasão invasion
act act
aluno lehrer
publicação publikation
metros meter
asteróide hauptgürtels
α α
anais annalen
situa liegt
grato danke
creek creek
dedicou widmete
list ‎edit
altar altar
clay clay
circle circle
incluído aufgeführt
supressão unterdrückung
meninas mädchen
beverly beverly
médio mittlerer
judeu jude
peak peak
giorgio giorgio
força kräfte
anti anti
mouse maus
paralela parallele
central zentral
que dass
airways airways
concebido konzipiert
estatísticas statistiken
viajou reiste
células zellen
garden garden
vantagens vorteile
jpg jpg
conversas gespräche
desaparece verschwindet
ministro minister
suficiente ausreichend
adolescentes jugendlichen
exige verlangt
argentina argentinien
son son
max max
académica akademischer
israel israel
chicago chicago
reuniões sitzungen
memórias erinnerungen
paciente patient
awards awards
tensões spannungen
foi wurde
assumiu übernahm
rejeitado abgelehnt
editoras verlage
marrocos marokko
óperas opern
europeia europäischen
burke burke
peter frank
holanda niederlande
rolling rolling
amizade freundschaft
med med
seattle seattle
geologia geologie
consultor berater
river river
concertos konzerten
dark dark
bonaparte bonaparte
fria kalten
figuras figuren
jim jim
price price
ok ok
montreal montreal
dalton thomas
seed seed
assassino mörder
modalidades disziplinen
causado ausgelöst
desapareceu verschwand
night night
collection collection
chumbo blei
seguido gefolgt
onda welle
padre pater
nossos unseren
derrotar besiegen
acredita vermutet
velocidade geschwindigkeit
parágrafo absatz
categorização kategorisierung
darwin darwin
newcastle newcastle
aprovação zustimmung
stuart stuart
lou lou
flag flag
telefone telefon
cerca etwa
… …
front front
executar ausführen
review review
women women
homens männern
povoados siedlungen
lost lost
programa programm
graham graham
drogas drogen
extinto ausgestorben
urso bären
locomotivas lokomotiven
competência kompetenz
maneiras weise
citar erwähnen
início beginn
socialismo sozialismus
serviço dienst
homo homo
tradições traditionen
daily daily
tradutor übersetzer
visível sichtbar
elias elias
verdes grünen
mulheres frauen
madrid madrid
políticos politischen
capacidade kapazität
navios schiffen
queda sturz
hectares hektar
deveriam sollten
section section
escolher wählen
cross cross
masculinas damen
aline eva
promove fördert
bisbis talk
rendeu einbrachte
palco bühne
apenas nur
mães mütter
passou durfte
frankfurt frankfurt
sea sea
destaca hervorzuheben
sebastian sebastian
influências einflüsse
almas seelen
mostrar darzustellen
coreia nordkorea
comedy comedy
maria anna
próximo nahe
sociedades gesellschaften
argumentos argumenten
ética ethik
balé ballett
explicações erklärungen
devido aufgrund
produzido produziert
variados vielfältigen
aprendeu erlernte
basílica basilika
water water
design design
conduzir leiten
visto gesehen
maritime maritime
montado montiert
descobriram entdeckten
revista zeitschrift
tabela tabelle
rápido schnelle
pb rl
trinta zwanzig
atuando agierte
defensor verteidiger
vs vs
delta delta
most most
sábado samstag
mãos händen
czar zaren
acusado vorgeworfen
george george
existência existenz
grupo gruppe
funções funktionen
talento talent
apostólico apostolischer
washington washington
infância kindheit
quente heiß
meu mein
estranha seltsame
gravemente verletzt
armstrong armstrong
forçado gezwungen
anton anton
carter carter
possui besitzt
selecção auswahl
young young
experimental experimentelle
deste diese
forneceu lieferte
falado gesprochen
oração gebet
sun sun
magnus magnus
levanta wirft
chang chang
spirit spirit
unido großbritannien
provavelmente möglicherweise
suposta angebliche
maya maya
ocupados besetzten
fontsize fontsize
mississippi mississippi
ingressou trat
governou regierte
voar fliegen
gasolina benzin
alcançar erreichen
olympic olympic
anunciado bekanntgegeben
filipe philipp
hunt hunt
permitido gestattet
club club
ditadura diktatur
perspectivas perspektiven
princípio prinzip
th th
air air
mathematics mathematics
because this
críticas kritik
pensado gedacht
co co
michele michele
socialista sozialistische
imediatamente sofort
copiado kopiert
complexos komplexen
old old
dentro innerhalb
logística logistik
poeira staub
posições positionen
iowa illinois
piratas piraten
obras werke
sentia fühlte
porta tür
fornece liefert
inaugurou eröffnete
evans evans
type type
bloco block
protegidos geschützten
cadeia kette
filósofos philosophen
consumo konsum
variam variieren
cuidar kümmern
fixa feste
directa direkter
determinadas bestimmte
possibilidades möglichkeiten
gostam mögen
traduções übersetzungen
oportunidade gelegenheit
sugerido angenommen
diferentes unterschiedlichen
situação situation
navy navy
imediata sofortige
frederick frederick
manto mantel
sex sex
patentes patente
óptica optik
quarenta vierzig
rebeldes rebellen
ecológica ökologische
temporariamente vorübergehend
habilidades fähigkeiten
femininos weiblichen
ilustrações illustrationen
principado fürstentum
montgomery montgomery
fr fr
torneios turnieren
mineração bergbau
tel tel
cáucaso kaukasus
frequentes häufigen
panorama panorama
malta malta
têm haben
verona verona
web web
gera erzeugt
amarelos gelben
biológica biologische
stone stone
free free
$ $
bb bb
infecção infektion
two two
franklin franklin
importa egal
wu wu
- -
asia asia
por durch
moedas münzen
completa vollständige
lógico logische
atrás hinter
integrado integriert
regulares regelmäßigen
desenhar zeichnen
mesmas dieselben
pisa pisa
abrantes samt
requer erfordert
unicamente sondern
jornalismo journalismus
cavalo pferd
aposentou ruhestand
all all
copyright copyright
aparelhos geräten
tunísia tunesien
grant grant
magazine magazine
marcel marcel
dinheiro geld
restrito beschränkt
francês französischer
decidido entschieden
reforma reform
observações beobachtungen
registra verzeichnet
koehne mien
lugares plätzen
champion champion
usuários nutzern
traduzido übersetzt
strauss strauss
conhecido_por sche
maio mai
nobel nobelpreis
comprar kaufen
emissora senders
challenger challenger
necessidades bedürfnisse
sofria litt
filhas töchter
crazy crazy
camada schicht
altos hohen
st st
realidade wirklichkeit
cabelo haare
determinação bestimmung
suficientemente hinreichend
metragem kurzfilm
alterado geändert
belgrado belgrad
média durchschnitt
cm cm
po po
pp pp
mês monat
perseguição verfolgung
qualidade qualität
ponto punkt
mudou ging
escreve schreibt
arquitetos architekten
aproximadamente ungefähr
âmbito rahmen
aborda thematisiert
temporadas saisons
cameron bryan
respostas antworten
apache apache
extinção aussterben
costumam manche
comparar vergleichen
fórmulas formeln
jersey jersey
avô großvater
medir messen
miles miles
alguns einigen
alexandra alexandra
conteúdos inhalten
entregue übergeben
caso fall
resolução resolution
atravessa durchquert
pernambucana pfälzischen
ligação verbindung
airlines airlines
thomson thomson
bucareste bukarest
bi bi
karen karen
lu lu
nomeou ernannte
bordo bord
construção bau
inicia beginnt
nenhum keines
precedido_por originaltitel
devil devil
bayer bayer
tem hat
garcía garcía
herói held
laura laura
edifício gebäude
coadjuvante nebendarsteller
dezembro dezember
usou benutzte
negativos negativen
benjamin benjamin
câmeras kameras
constelação sternbild
notícias nachrichten
interessados interessierten
fine fine
contemporânea zeitgenössische
pas pas
viúva witwe
termo begriff
selos briefmarken
estratégica strategische
laser laser
ortodoxa orthodoxen
premiado ausgezeichnet
abraham abraham
cópias kopien
> >
antuérpia antwerpen
j j
parciais sätzen
químicos chemischen
desculpas entschuldigung
cubo kugel
anime anime
baltimore baltimore
estrangeiro ausländischer
basic basic
search search
comercialmente kommerziell
todas sämtliche
universidad universidad
dentre darunter
sair verlassen
papa papst
domingo sonntag
problema problem
detalhes details
sa sa
elétricos elektrischen
reforçar verstärken
tóquio tokio
uma eine
agência agentur
consta vermerkt
smith smith
estrutura struktur
harrison harrison
diplomata diplomat
perigo gefahr
trata handelt
reduzir reduzieren
escuridão dunkelheit
aqui hier
incêndio brand
alimento nahrung
vda urv
xvii jahrhundert
nobreza adel
mesa tisch
pio pius
ted ted
president president
platina platin
identificado identifiziert
retira legt
mina bergwerk
possibilidade möglichkeit
angel angel
frost frost
rurais ländlichen
actual heutige
intervenções eingriffe
nascimento geburt
unit unit
hampshire hampshire
filmagens dreharbeiten
forma form
propriamente eigentlichen
university university
notre notre
luterana lutherische
assinou unterschrieb
independência unabhängigkeit
word word
esclarecer erläutern
string string
milão mailand
síria syrien
queimado verbrannt
chinese chinese
boeing boeing
chá tee
cbs cbs
essas solche
mario mario
certa gewisse
sociedade gesellschaft
artist artist
energias energien
hospital krankenhaus
pirâmide pyramide
responsável verantwortlich
sobreviver überleben
sugere deutet
transforma verwandelt
literalmente wörtlich
mikhail michail
planeja plant
modelos modellen
papéis rollen
assuntos angelegenheiten
p p
wiki wikipedia
got got
billy billy
explicitamente explizit
segunda zweiten
satélite satellit
conference conference
bairros stadtteilen
irã iran
spl scorecard
evidentemente keineswegs
alsácia elsass
tratar behandeln
possíveis möglichen
óleo öl
carmen carmen
desenvolveu entwickelte
afirmando sei
things things
cruzado bogen
pausa pause
cox cox
challenge challenge
peace peace
gana ghana
electric electric
câmaras kammern
foundation foundation
van van
quartel hauptquartier
teatro theater
fisiologia physiologie
first first
were were
interpreta verkörpert
montenegro montenegro
são sind
best best
diferentemente gegensatz
butler butler
imdb imdb
t t
russa russische
pertencem gehören
ingrid inge
seus seinen
processo prozess
heart heart
edition edition
perda verlust
ira zorn
bbc bbc
morre stirbt
amélia luise
pele haut
hóquei eishockey
howard howard
fabricante hersteller
fabricados hergestellten
farol leuchtturm
comunistas kommunisten
sonho traum
cuja dessen
marion marion
vendido verkauft
dublin dublin
necessidade notwendigkeit
noutras anderer
catherine catherine
primeiramente zuerst
todd todd
cooperativa genossenschaft
colocação platzierung
basicamente wesentlichen
etimologia etymologie
date date
morgan morgan
puderam konnten
andrew stephen
sarah sarah
oval oval
indiretamente indirekt
dixon brooks
seguida anschließend
cavernas höhlen
google google
idêntico identisch
antena antenne
self self
alcançou erreichte
trabalhado gearbeitet
cozinha küche
curvas kurven
& &
evidencia erkennbare
fk hk
constantemente ständig
farmácia apotheke
aliança allianz
quantidade menge
late late
lido gelesen
estimativas schätzungen
eduardo eduard
verde grün
pretendo möchtest
mineral mineral
reference reference
u u
children children
campus campus
sérvios serben
mother mother
portland portland
school school
soma summe
anunciou kündigte
tenho habt
carros fahrzeugen
bush bush
culpa schuld
relações beziehungen
doações spenden
inovações neuerungen
ko ko
clicar klicken
abrir eröffnen
atirar schießen
científicos wissenschaftlichen
said said
frequente häufige
vontade willen
nele daran
morris morris
maps maps
astronomia astronomie
terminal terminal
betty lucy
tratamento behandlung
acessível zugänglich
finanças finanzen
one one
champions champions
planetas planeten
musical musical
chineses chinesen
## ##
publications publications
amistoso freundschaftsspiel
homônima gleichnamigen
redator redakteur
plural plural
adelaide adelaide
senegal senegal
ucrânia ukraine
crimes verbrechen
naturais natürlichen
perde verliert
relatou berichtete
foco fokus
pronúncia aussprache
contribuir beitragen
legalmente rechtlich
árvore baum
floresta waldes
precisão genauigkeit
mozart mozart
geográficos geographischen
northern northern
eixo achse
premio premio
motion motion
promoveu initiierte
poemas gedichten
christmas christmas
coordenadas koordinaten
japonesa japanischen
composições kompositionen
summer summer
saturno jupiter
autora autorin
jonathan jonathan
bourbon bourbon
pavilhão pavillon
ceo ceo
escreveu schrieb
production production
alcançaram erreichten
duo duo
anne anne
medalhas medaillen
holandesa niederländische
mais weitaus
raízes wurzeln
ilustrado illustriert
teclado keyboard
standard standard
respeito bezüglich
biológicos biologischen
convenção konvention
decidir entscheiden
sangue blut
medição messung
and and
conto erzählung
pacientes patienten
referem beziehen
ásia asien
sistemática systematische
/ /
md md
agir handeln
estimular fördern
república republik
artilheiro torschützenkönig
snow snow
materiais materialien
news news
venda verkauf
picture picture
edge edge
adquirido erworben
blues blues
hitler hitler
nick nick
sociologia soziologie
trazer bringen
porque denn
destruir zerstören
ondas wellen
membro mitglied
etc etc
linux linux
sky sky
águia adler
consequências konsequenzen
repertório repertoire
descendentes nachkommen
obtém erhält
westminster westminster
entrevista interview
none right
angels angels
diabo teufel
existentes vorhandenen
praticamente nahezu
atlas atlas
lecionou lehrte
livros büchern
honorário ehrenmitglied
pop pop
ideologia ideologie
mental psychische
comportamento verhalten
intelectuais intellektuellen
herdeiros erben
grande große
esquema schema
gate gate
vida lebens
atualmente zurzeit
tesouro schatz
• ·
return return
mitos mythen
flauta flöte
chip chip
brevemente kurzzeitig
danúbio donau
história geschichte
tamanho größe
ian ian
vingança rache
lenda legende
conhecido bekannt
fotos fotos
florence florence
tan tan
canta singt
anualmente jährlich
andrews andrews
coloração färbung
indivíduo individuum
en en
blood blood
singles singles
sony sony
vincent vincent
computador computer
sound sound
mapa karte
estádios stadien
sub sub
pseudo pseudo
terremoto erdbeben
gif gif
voluntário freiwilliger
! !
fish fish
algumas einige
hit hit
lorde lord
eugene eugene
prosa prosa
language language
recomendações empfehlungen
sin sin
consenso konsens
oxigênio sauerstoff
col col
públicos öffentlichen
durou dauerte
romeno rumänische
primavera frühling
capital hauptstadt
development development
dennis dennis
acreditava glaubte
tailândia thailand
song song
juventude jugend
pergunta fragt
weber weber
parecia schien
melhorar verbessern
alfa alfa
causou verursachte
tardia späte
eram waren
frança frankreich
postura haltung
chamas flammen
bolas kugeln
? ?
nm nm
bowl bowl
referendo referendum
compatriota landsmann
estreou debütierte
amsterdã amsterdam
lutou kämpfte
economicamente wirtschaftlich
aliados verbündeten
países ländern
corrigido korrigiert
harris andrew
turim turin
testemunho zeugnis
ligados verbundenen
mars mars
council council
bonn bonn
dificuldades schwierigkeiten
sinal signal
early early
opera opera
vem setzt
contos erzählungen
novo neues
outro gleiches
germain germain
condições bedingungen
substância substanz
etapas etappen
apoiar unterstützen
columbia columbia
acompanhou begleitete
terras ländereien
over over
brunswick brunswick
flash flash
lentamente langsam
dog dog
conduziu führte
segundos sekunden
polícia polizei
cópia kopie
estúdios studios
potter potter
milton milton
making making
georges georges
mercedes mercedes
frequência frequenz
mount mount
parcialmente vollständig
camarões kamerun
green white
objetivo ziel
correto korrekt
fui mal
zelândia neuseeland
cruzada kreuzzug
apagar löschen
geographic geographic
defender verteidigen
days days
japão japan
ópera oper
dedicado gewidmet
textos texten
proprietário eigentümer
simple simple
votos stimmen
mitologia mythologie
metal metal
ossos knochen
semelhanças ähnlichkeiten
roma rom
maestro dirigent
mecanismos mechanismen
prefácio vorwort
questionado geäußert
table table
xii xiii
há gibt
casado verheiratet
necessária notwendige
mercado markt
tadeu kreuzberg
coisa sache
steel steel
lee lee
oblast oblast
luna luna
termina endet
nações nationen
virgem jungfrau
exemplar exemplar
escolheu wählte
won won
queens queens
turistas touristen
mesmos tatsächlichen
theatre theatre
cidades städte
porém jedoch
value value
paper paper
lechatjaune ¿disk
ataque angriff
humor humor
rocky rocky
sabe wann
círculos kreisen
financiar finanzieren
wings wings
precisou musste
indian indian
madeira holz
enrico enrico
chelsea chelsea
argentino argentinischer
constituem ausmachen
destacam sowie
afirmações behauptungen
estação station
lesão verletzung
al al
passo schritt
preferem bevorzugen
vento wind
etiópia äthiopien
líder anführer
automobilista automobilrennfahrer
manhã morgens
fundador gründer
proposto vorgeschlagen
bull bull
rome rome
objecto gegenstand
pearl pearl
extenso umfangreich
isabella isabella
consideravelmente erheblich
inúmeras unzählige
pátria vaterland
carregado hochgeladen
carga ladung
em in
semelhantes ähnlichen
condenado verurteilt
than than
tommy tommy
tradução übersetzung
ponte brücke
download download
sobreviveu überlebte
olímpicos sommerspielen
aconteceram stattfanden
adn dna
simultaneamente gleichzeitig
cão hund
comunidade gemeinschaft
arábia arabien
serve dient
perseguir verfolgen
higgins cruz
bros bros
modos modus
nobres adligen
vermelha roter
madame madame
ha ha
studies studies
subdivisão_tipo admtype
razão grund
expressões ausdrücke
adam adam
especialistas experten
resta übrig
toni toni
alto hoher
security security
romances romanen
levá begeben
rosto gesicht
ocasião anlass
dormir schlafen
charts charts
gmina powiat
upon upon
mt mt
local_morte †
camões goethe
haven haven
espectro spektrum
apresentar präsentieren
fraternidade studentenverbindung
costume brauch
animais tieren
conforme gemäss
lie lie
escritórios büros
esforços bemühungen
calais calais
filósofo philosoph
fato tatsache
famoso berühmt
culto kult
fabricado hergestellt
. .
jogado gespielt
médico arzt
sido worden
press press
alega behauptet
rosa rosa
correntes strömungen
então dann
ferramentas werkzeuge
tupdate lgupdate
fotografias fotografien
rei könig
daquela jener
br ot
sueca schwedische
estritamente strikt
cerâmica keramik
opiniões meinungen
conjuge politikerin
democratas demokraten
solid solid
medicina medizin
shi shi
equipe mannschaft
cut cut
acertou schoss
debates debatten
libertado freigelassen
ótima gute
hora stunde
tinha hatte
guerras kriege
intervenção intervention
sozinho alleine
facilita erleichtert
simpson simpson
duquesa herzogin
colaboração zusammenarbeit
elogiou lobte
bielorrússia weißrussland
avião flugzeug
diretora leiterin
milhões millionen
comté franche
absoluta absolute
conferências konferenzen
explicação erklärung
monges mönche
nazi nazi
missionário missionar
reduzido reduziert
reais zahlen
arqueologia archäologie
regime regime
discriminação diskriminierung
barroco barock
chile chile
ilha insel
encontro treffen
brilho glanz
sexuais sexuelle
menção erwähnung
prosperidade wohlstand
by by
cerco belagerung
promovido befördert
últimas vergangenen
ali bey
filme film
penal strafrecht
concepção konzeption
escolhe wählt
objetos objekten
papua papua
pontas spitzen
± ±
retórica rhetorik
indicação nominierung
economista wirtschaftswissenschaftler
justice justice
adrian adrian
regional regionale
espanhola spanischen
resposta antwort
duques herzöge
pés füßen
clubes klubs
quadrinhos comics
republic republic
ignorar ignorieren
videoclipe musikvideo
bolívia bolivien
light light
escravos sklaven
diretrizes vorgaben
inverno winter
navio schiff
sheffield sheffield
estrangeiros ausländischen
realizar durchführen
ai ai
stefano stefano
carl conrad
viram sahen
sombra schatten
renomeado umbenannt
japanese japanese
afirmar behaupten
bibliotecas bibliotheken
tarefa aufgabe
modernas neuere
march march
medo angst
rios flüssen
iugoslávia jugoslawien
definido definiert
linhas linien
habilidade fähigkeit
corrigir korrigieren
camadas schichten
neutro neutral
reitor rektor
yale yale
constituição verfassung
fachada fassade
site webseite
cinemas kinos
meses monaten
descrito beschrieben
facebook facebook
fotógrafo fotograf
flying flying
confere verleiht
escocês schottischer
divindade gottheit
estudos studien
proponho plädiere
governador gouverneur
famílias familien
wta wta
militares militärischen
sino glocke
sbt zdf
vitória sieg
masculinos männlichen
mantinha unterhielt
mongólia mongolei
winston winston
precisam müssen
elétrons elektronen
ascendência abstammung
análise analyse
muito sehr
monge mönch
disponível verfügbar
pênaltis elfmeterschießen
procurar suchen
segredo geheimnis
presidentes präsidenten
cativeiro gefangenschaft
quebec québec
fu fu
separou trennte
desejo wunsch
ti ge
palavras worte
coach coach
gráfico grafik
ironia ironie
separar trennen
atletismo leichtathletik
braço arm
w w
hungria ungarn
conteúdo inhalt
born born
título titel
matemática mathematik
soldado soldat
arquivo archiv
psicologia psychologie
oitavo sechste
exercendo tätigkeit
cambridge cambridge
problemas problemen
davis davis
end end
superior höhere
bang bang
show show
automobilismo motorsport
baptiste baptiste
formavam bildeten
grega griechischen
conhece lernt
descobriu entdeckte
, ,
