manœuvres manovre
funérailles funerali
immaculée immacolata
australie australia
indications indicazioni
dont cui
martyrs martiri
communiquer comunicare
basket pallacanestro
optique ottica
ailes ali
model model
combustible combustibile
bâle basilea
rues piazze
aérienne aerea
sylvia sylvia
scotland scotland
impact impatto
bush bush
préfère preferisce
souffrance sofferenza
automatiquement automaticamente
wang wang
variantes varianti
con en
park park
lecteur lettore
faisaient facevano
aristote aristotele
éviter evitare
autrichiens austriaci
montagne montagna
page pagina
network network
& &
laser laser
organisé organizzato
brève breve
citations citazioni
pittsburgh pittsburgh
femmes donne
permanente permanente
légion legione
provient deriva
mod mod
bach bach
témoin testimone
soigner curare
répétition ripetizione
empêcher impedire
rejoignit unì
serbie serbia
opérateurs operatori
principale principale
guilde gilda
turner turner
solaires solari
amédée luigi
guerrier guerriero
longues lunghe
portrait ritratto
dessin disegno
plan piano
termina terminò
fiefs feudi
fonctionnement funzionamento
traditionnelle tradizionale
blessé ferito
intro incipit
échoué fallito
militants militanti
p p
réédité ripubblicato
horaire orario
brigitte paola
panneaux pannelli
elbe elba
artiste artista
croire credere
accueillir ospitare
observateur osservatore
continentale continentale
mccartney mccartney
bronze bronzo
varient variano
pluies piogge
trophée trofeo
acquis acquisito
batterie batteria
présentait presentava
assistance assistenza
adultes adulti
cousins cugini
professionnels professionisti
être essere
nevada nevada
antennes antenne
kiev kiev
chasseur cacciatore
impose impone
protectorat protettorato
sarajevo sarajevo
lacs laghi
agisse trattandosi
honda honda
déclarer dichiarare
tirs tiri
finlande finlandia
produire produrre
ll ll
approche approccio
play play
certains alcuni
frère fratello
german german
kingdom kingdom
prononcée pronunciata
mario bernard
amériques americhe
pensées pensieri
légers leggeri
froid freddo
adapté adattato
dixon dixon
christmas christmas
gratuit gratuito
confusion confusione
voient vedono
australian australian
conservatoire conservatorio
occasions occasioni
gymnase palestra
fidèles fedeli
flamand fiammingo
story story
field field
vandalismes vandalismi
interprétation interpretazione
techniques tecniche
brunswick brunswick
avancée avanzata
générations generazioni
contact contatto
portait portava
reconnaissent riconoscono
déchets rifiuti
enregistrés registrati
dot dote
fût venisse
idéal ideale
institute institute
rick rick
vallée valle
adolescents adolescenti
partager condividere
davis davis
flying flying
queens queens
phrases frasi
caisses casse
superman superman
votants votanti
jpg jpg
araneae araneae
bloqué bloccato
fonctionne funziona
site sito
annuelles annuali
paraguay paraguay
projeté proiettato
tremplin trampolino
jump jump
shakespeare shakespeare
chine cina
origine origine
clinique clinica
princeton princeton
golf golf
horaires orari
configuration configurazione
centenaire centenario
dénonce denuncia
déroulant ambientata
remportée vinta
sculptures sculture
députés deputati
capable capace
basées basate
pollution inquinamento
rappellent ricordano
apprenti apprendista
coupable colpevole
paroissiale parrocchiale
offert offerto
touristique turistica
compositrice compositrice
céréales cereali
concentre concentra
dom dom
joua giocò
william william
cinématographique cinematografica
existence esistenza
jesús jesús
éthiopie etiopia
fonds fondi
représentation rappresentazione
avancer avanzare
und und
épisode episodio
attribuée attribuita
xiie xiii
décrite descritta
voiture auto
scénario sceneggiatura
atlantic atlantic
françois francesco
provoque provoca
répression repressione
floraison fioritura
rêves sogni
tort torto
cameroun camerun
player player
partent partono
mélodie melodia
coming coming
majorité maggioranza
proposa propose
rares rari
connaissait conosceva
augmentant aumentando
supports supporti
mixage missaggio
termes termini
amélioré migliorato
impliqués coinvolti
entraîneur allenatore
hayes hayes
flandres fiandre
very very
couronne corona
revolution revolution
perfect perfect
lié legato
rené alberto
bâtiment edificio
police polizia
traité trattato
theodor theodor
détective investigatore
témoignages testimonianze
wesley wesley
genou ginocchio
proposer proporre
explorateurs esploratori
online online
synthèse sintesi
laissent lasciano
archéologique archeologico
déroulent svolgono
registres registri
directrice direttrice
niveaux livelli
musulmane musulmana
légèrement leggermente
blois urbino
eyes eyes
découvre scopre
capturer catturare
naine nana
divisée divisa
yang yang
alliées alleate
nés nati
disputé disputato
retable polittico
chaud caldo
localement localmente
financière finanziaria
marx marx
pratiquer praticare
documentation documentazione
square square
mineur minore
sentier sentiero
exploits gesta
l dell
sarah sarah
mariages matrimoni
montevideo montevideo
promouvoir promuovere
débarquement sbarco
murray murray
remportant vincendo
cole cole
terrains terreni
vega vega
rainer rainer
dépasse supera
hawaii hawaii
show show
manchester manchester
exploiter sfruttare
référendum referendum
cool cool
profil profilo
gerard gerard
urbains urbani
mine miniera
couronnement incoronazione
hostile ostile
eut ebbe
température temperatura
bruce bruce
chasse caccia
somme somma
hôte ospite
tripoli tripoli
enveloppe involucro
richmond richmond
liaison collegamento
opéré operato
souterraine sotterranea
symphony symphony
notation notazione
osaka osaka
randy randy
élévation elevazione
visconti visconti
china china
couples coppie
pension pensione
commémorative commemorativa
travail lavoro
brooklyn brooklyn
rentrée rientro
définis definiti
basant basandosi
monk monk
stargate stargate
guild guild
humanité umanità
drake drake
survenue avvenuta
amiral ammiraglio
dresde dresda
mack mack
primitif primitivo
amis amici
moitié metà
couvent convento
bolivie bolivia
partielle parziale
marchands mercanti
hms hms
alexandre alessandro
prélude preludio
collectivités enti
metal metal
reconstruite ricostruita
neal neal
vins vini
courses corse
fusée razzo
japon giappone
religieuse religiosa
bot bot
voyage viaggio
discussions discussioni
kurt kurt
placés collocati
rugby rugby
horizon orizzonte
parties parti
billboard billboard
urbaines urbane
com/ com/
davies davies
heinrich heinrich
université università
syntaxe sintassi
palmer palmer
ayant avendo
divinités divinità
beautiful beautiful
chose cosa
valley valley
innovations innovazioni
edition edition
priorité priorità
grotte grotta
baltique baltico
contemporains contemporanei
angle angolo
chauffage riscaldamento
floride florida
joyce joyce
citons ricordiamo
spirale spirale
sépulture sepoltura
initiée avviata
exécuté giustiziato
joueurs giocatori
bonaparte bonaparte
delta delta
surface superficie
créature creatura
mg mg
salomon salomone
got got
scope }
spécialisée specializzata
arrêtés arrestati
golden golden
dispute disputa
musulman musulmano
décorations decorazioni
augusta augusta
partagé condiviso
tir tiro
portées portate
ouvriers operai
byzance bisanzio
réalisateur regista
manquent mancano
oiseau uccello
monarchie monarchia
nœuds nodi
esprit spirito
reconnu riconosciuto
différents diversi
consommateurs consumatori
hill hill
expériences esperienze
papes papi
volontaires volontari
modes modalità
ennemis nemici
solitaire solitaria
anhalt anhalt
dominée dominata
diminuer diminuire
céramique ceramica
illustrée illustrata
campbell chapman
gloire gloria
correspond corrisponde
zone zona
édimbourg edimburgo
radicaux radicali
naruto naruto
brouillard nebbia
adolf adolf
eh eh
télévisées televisive
manière maniera
yvan mirko
bang bang
confirmée confermata
once once
faibles deboli
dominique gabriele
cinéma cinema
publications pubblicazioni
accord accordo
magasins negozi
utilisés usati
débat dibattito
from from
yo yo
réserves riserve
étendu esteso
supérieures superiori
colons coloni
provoquant provocando
nouvellement contestualmente
greene greene
avons abbiamo
applique applica
attendre attendere
monts monti
ukraine ucraina
ballade ballata
dotés dotati
roth roth
chercher cercare
conseiller consigliere
vocation vocazione
prose prosa
indianapolis indianapolis
collections collezioni
dynamique dinamico
cu cu
texas texas
gay gay
développés sviluppati
sms sms
condamné condannato
ireland ireland
filles figlie
maintenir mantenere
frein freno
ses suoi
romeo romeo
inspire ispira
téléspectateurs telespettatori
foule folla
inscription iscrizione
there there
alimentation alimentazione
entertainment entertainment
ceux quelli
potentiels potenziali
aigle aquila
canal+ mediaset
remis consegnato
médicale medica
michael michael
capturé catturato
yeux occhi
march march
amphithéâtre anfiteatro
johnson johnson
puerto puerto
vin vino
instrumental strumentale
donc quindi
éliminer eliminare
entraîneurs allenatori
vieux vecchio
figure figura
fondamentaux fondamentali
ming ming
ballon pallone
fréquentes frequenti
favorable favorevole
luxembourg lussemburgo
poison veleno
colombe colomba
chanteurs cantanti
building building
inédite inedita
témoignage testimonianza
deviennent diventano
publicitaires pubblicitari
greatest greatest
présenta presentò
sauvetage salvataggio
slovénie slovenia
fe fe
mandat mandato
lumineuse luminosa
paysages paesaggi
conservées conservate
résultats risultati
disponibilité disponibilità
pointes punte
dirigeants dirigenti
orale orale
centrée incentrata
br br
linguistique linguistica
company company
implique implica
risques rischi
corpus corpus
atteignent raggiungono
visages volti
adq vetrina
compétition competizione
croatie croazia
adélaïde adelaide
centaine centinaio
institut istituto
tentent tentano
autobiographie autobiografia
jürgen jürgen
gisements giacimenti
frégate fregata
africaine africana
alabama alabama
côte costa
adverse avversaria
actuelles attuali
infirmière infermiera
preston preston
buteur capocannoniere
irish irish
asile asilo
montréal roma
indices indizi
contraire contrario
soirée serata
grande grande
cabane capanna
wright wright
brest pola
christopher christopher
autrefois anticamente
panneau pannello
alpes alpi
future futura
pic picco
répondu risposto
épée spada
discovery discovery
collectif collettivo
proto proto
prototypes prototipi
savent sanno
exister esistere
desservie servita
allemands tedeschi
ouvrent aprono
numérotation numerazione
philosophe filosofo
stuttgart stoccarda
alliée alleata
mona mona
homonymie disambigua
mind mind
development development
web web
noble nobile
comprenait comprendeva
people people
latium loira
immigrés immigrati
trouvent trovano
carrosserie carrozzeria
expérimentation sperimentazione
représentations rappresentazioni
effectué effettuato
alan alan
nouvelle nuova
massif massiccio
changé cambiato
machines macchine
cascades cascate
loi legge
africains africani
magasin negozio
esclave schiavo
inventé inventato
maires sindaci
haye aia
styles stili
bleu blu
heavy heavy
fred fred
arbitre arbitro
école scuola
theater theater
till till
daily daily
adresse indirizzo
vandalisme vandalismo
vic vic
dimensions dimensioni
formes forme
symbole simbolo
diocèse diocesi
exploser esplodere
mark mark
anglais inglese
garantie garanzia
penn penn
consultation consultazione
friends friends
définies definite
through through
janeiro janeiro
électrique elettrica
accéder accedere
billancourt terni
galaxie galassia
andrew andrew
torture tortura
intérêt interesse
capables capaci
peintures pitture
exposé esposto
gagné guadagnato
faiblesse debolezza
sonde sonda
organise organizza
dirigé guidato
for for
enseignements insegnamenti
modifiés modificati
théâtre teatro
réduite ridotta
narration narrazione
tenter tentare
exprimer esprimere
contribuer contribuire
légitime legittima
pur puro
bail affitto
matrice matrice
mental mentale
portion porzione
lignes linee
to to
sons suoni
moines monaci
alba alba
habit abito
présence presenza
indiqué indicato
where where
alors allora
aviv aviv
torpilles siluri
tante zia
magazine magazine
permit permise
situation situazione
sylvain gianluca
soprano soprano
abréviation abbreviazione
statistiques statistiche
bibliothécaire bibliotecario
visite visita
primaires primarie
disparition scomparsa
honoré onorato
jumelles gemelle
hood hood
what what
lugano losanna
intégrale integrale
dawson dawson
pouces pollici
sud sud
incertitude incertezza
inspecteur ispettore
continuité continuità
mettent mettono
chrétienne cristiana
winter winter
news news
décerné conferito
mécaniques meccaniche
rapporté riferito
important importante
serpents serpenti
pouvoir potere
lennon lennon
portugais portoghese
- -
ballet balletto
pêcheurs pescatori
couvre copre
appliquées applicate
roman romanzo
dose dose
châssis telaio
accordée concessa
ordonné ordinato
estonie estonia
fous pazzi
ibm ibm
mariage matrimonio
absolument assolutamente
caractérisé caratterizzato
consacrer dedicarsi
permet permette
orient oriente
fantastique fantastico
card card
bryan bryan
essentiellement essenzialmente
masques maschere
inférieur inferiore
orienté orientato
perdues perdute
moulins mulini
malades malati
découverts scoperti
shanghai shanghai
catalogue catalogo
broadway broadway
doigt dito
lente lenta
écritures scritture
larges ampie
peinte dipinta
licences licenze
tv tv
représenté rappresentato
organisées organizzate
masculins maschili
fl fl
abandonnés abbandonati
traitent trattano
act act
conséquences conseguenze
robots robot
federation federation
observateurs osservatori
doré dorato
screen screen
journées giornate
opposée opposta
semaines settimane
orientale orientale
poétique poetica
nature natura
grands grandi
chant canto
privilège privilegio
visiteurs visitatori
low low
sprint volata
bouche bocca
populaires popolari
she she
statut status
soutient sostiene
bourg borgo
algèbre algebra
rap rap
lang lang
textes testi
détruites distrutte
morts morti
galerie galleria
dangereuses pericolose
slogan slogan
spectacles spettacoli
testament testamento
nomenclature nomenclatura
chanteuse cantante
maternel materno
problème problema
conflit conflitto
bancs banchi
combattant combattente
réfère riferisce
chuck chuck
missionnaires missionari
amants amanti
londres londra
impliquant coinvolge
théorème teorema
premières prime
award award
ron ron
irlandaise irlandese
sex sex
amérindiens nativi
diamant diamante
coureurs corridori
comte conte
disputée disputata
géographique geografica
maman mamma
début inizio
surprise sorpresa
bons buoni
missions missioni
gorge gola
devenus diventati
statues statue
artère arteria
tr tr
ac ac
christian christian
roches rocce
cricket cricket
mixte mista
elias elias
positifs positivi
privilèges privilegi
perception percezione
ski sci
poil pelo
bloquée bloccata
office office
identifiée identificata
indien indiano
voulais volevo
jockey jockey
familles famiglie
force forza
stabilité stabilità
leur loro
associées associate
enthousiasme entusiasmo
actif attivo
soudan sudan
matin mattino
constellation costellazione
berg berg
siècle secolo
sénateur senatore
lieu luogo
oublier dimenticare
catalogne catalogna
arrestation arresto
devinrent divennero
me me
amélioration miglioramento
hongrie ungheria
utilisa utilizzò
souligne sottolinea
oakland oakland
river river
serait sarebbe
reste resta
charges cariche
profitant approfittando
suivit seguì
boss boss
rigide rigido
coéquipier compagno
buddy buddy
picture picture
soldats soldati
répond risponde
rebecca rebecca
fournir fornire
violente violenta
commons commons
vidéos filmati
basés basati
précipitations precipitazioni
choisit sceglie
orthodoxe ortodossa
limiter limitare
parvint riuscì
atome atomo
mécanisme meccanismo
statuts statuti
sexes sessi
cabine cabina
enregistrement registrazione
logique logica
permettent permettono
décrits descritti
existants esistenti
animaux animali
confère conferisce
miel miele
johansson johansson
alexander alexander
brigade brigata
électoraux elettorali
célèbres celebri
servir servire
manuelle manuale
directions direzioni
exclusivement esclusivamente
reprend riprende
chronique cronaca
joueuse giocatrice
exposées esposte
hits hits
die die
mort morte
belgique belgio
prennent prendono
témoins testimoni
mettre mettere
académiques accademici
blanche bianca
capteurs sensori
rendus resi
modernes moderni
confession confessione
consiste consiste
quinze quindici
fiche scheda
sandy sandy
scène scena
bandes bande
examen esame
rédigé redatto
manœuvre manovra
satan satana
convaincu convinto
hastings hastings
cl cl
républicain repubblicano
thématique tematica
three three
liga liga
h h
gaz gas
dérivés derivati
révèle rivela
renouvelée rinnovata
oxford oxford
aéroport aeroporto
patrimoine patrimonio
toucher toccare
command command
transférée trasferita
juridiction giurisdizione
sortit uscì
raisonnable ragionevole
constituante costituente
appliquer applicare
chefs capi
ab ab
visage volto
troupes truppe
souterrains sotterranei
diffusée trasmessa
single singolo
industriels industriali
claires chiare
ronnie ronnie
cordoue cordova
thomas thomas
armure armatura
tracé tracciato
anglo anglo
bijoux gioielli
silver silver
étranges strani
gfdl gfdl
trajectoire traiettoria
quartiers quartieri
vision visione
dis dico
cire cera
commencent iniziano
transporter trasportare
uk uk
casanova casanova
couvrir coprire
typiques tipici
continuer continuare
pétersbourg pietroburgo
vampires vampiri
instructeur istruttore
ombres ombre
fracture frattura
thor thor
listes liste
épisodes episodi
exclu escluso
other other
cathédrale cattedrale
carrés quadrati
athlétique atletico
columbia columbia
ouvrière operaia
séparer separare
balle palla
nationaliste nazionalista
horace orazio
alternative alternativa
pilotes piloti
devint divenne
celle quella
paradise paradise
électroniques elettronici
location location
clair chiaro
entourée circondata
hautes alte
polytechnique politecnico
monoplace monoposto
réellement realmente
habitée abitata
abraham abraham
pop pop
places capienza
mannequin modella
mclaren mclaren
je io
levy levy
nd nd
récits racconti
girl girl
séquence sequenza
vaste vasta
edge edge
centres centri
visions visioni
mm mm
infanterie fanteria
peut può
actrices attrici
finn finn
médaille medaglia
carey carey
bourgeoisie borghesia
houston houston
westminster westminster
immigration immigrazione
prison prigione
sabine sabine
millimètres millimetri
dimension dimensione
arrivent giungono
foncé scuro
exact esatto
lecteurs lettori
nourriture cibo
soul soul
bombardement bombardamento
théologie teologia
immédiatement immediatamente
uefa uefa
signifie significa
trouvera troverà
blé grano
durent dovettero
parlée parlata
fia fia
poète poeta
vengeance vendetta
permettre permettere
cassation cassazione
conversation conversazione
html html
associée associata
apprend apprende
accessoires accessori
children children
traduire tradurre
défenseur difensore
domestiques domestici
pauvreté povertà
dreams dreams
baptême battesimo
spectateurs spettatori
chien cane
étrangère straniera
basile basilio
régiment reggimento
angeles angeles
droits diritti
obtenue ottenuta
basée basata
approuvé approvato
type tipo
toponyme toponimo
castro castro
gamme gamma
by by
allison allison
toiles tele
agences agenzie
prix premio
sportives sportive
chirurgien chirurgo
country country
laine lana
utilisant utilizzando
transylvanie transilvania
athletic athletic
cérébrale cerebrale
apocalypse apocalisse
magie magia
améliorer migliorare
bombes bombe
temps tempo
préparation preparazione
électorale elettorale
publiés pubblicati
maire sindaco
carlos carlos
travis travis
organisa organizzò
eve eve
échangé scambiato
digne degno
électriques elettriche
hautement altamente
perspective prospettiva
progrès progresso
disposition disposizione
are are
kilomètres chilometri
walk walk
panzer panzer
phénomène fenomeno
installé installato
commencer cominciare
inc inc
doctorat dottorato
entoure circonda
jon jon
parts quote
décrire descrivere
volonté volontà
sexuel sessuale
peintre pittore
sûr sicuro
tanzanie tanzania
voit vede
rencontre incontra
conditions condizioni
hospital hospital
inter inter
mauvais brutto
put poté
thunder thunder
moïse mosè
battu sconfitto
ncaa ncaa
olivia olivia
gagner guadagnare
personnages personaggi
directive direttiva
titre titolo
faut bisogna
biographies biografie
obligé obbligato
jeux giochi
terminant terminando
toutes tutte
jonas jonas
traitement trattamento
empire impero
présidentielles presidenziali
contraction contrazione
mhz mhz
frankie frankie
loire romagna
voyager viaggiare
doivent devono
cercles circoli
christina christina
number number
romaine romana
iso iso
lutte lotta
accords accordi
pionniers pionieri
passes assist
constante costante
publier pubblicare
r r
program program
poétesse poetessa
mathématiques matematica
patriarche patriarca
expliqué spiegato
déclin declino
bristol bristol
utilisateur utente
mrs mrs
utilisé utilizzato
marcel ettore
mexicaine messicana
fréquent frequente
oxygène ossigeno
courtois cortese
sache sappia
significatifs significativi
lys giglio
leonard leonard
comportement comportamento
blood blood
tiger tiger
ordonnance ordinanza
dénombre contano
insee ibge
mafia mafia
jugement giudizio
interprété interpretato
rachel rachel
oiseaux uccelli
humide umido
croit crede
publiques pubbliche
groupe gruppo
comité comitato
écliptique eclittica
do do
demandes richieste
art arte
enseigner insegnare
dangers pericoli
ellis ellis
premier primo
embouchure foce
podium podio
hot hot
conseil consiglio
adhère aderisce
croyances credenze
solo solista
entières intere
hanna hanna
protégée protetta
mercedes mercedes
slalom slalom
ein ein
noires nere
crétacé cretaceo
remplacé sostituito
secrets segreti
terrorisme terrorismo
distincts distinti
découvert scoperto
décennies decenni
minas minas
contribuent contribuiscono
veulent vogliono
restes resti
inférieures inferiori
un un
dakota dakota
pensée pensiero
côtes coste
fabrication fabbricazione
del de
tables tavole
oublié dimenticato
équipes squadre
utilité utilità
menace minaccia
veine vena
chevalier cavaliere
analyse analisi
lieux luoghi
secret segreto
larves larve
pete pete
reconnue riconosciuta
rainbow rainbow
thérèse teresa
dérivé derivato
communauté comunità
rendre rendere
francfort francoforte
cavité cavità
hiérarchie gerarchia
ambassadeur ambasciatore
deuxièmes vincenti
richesses ricchezze
photos foto
terrible terribile
chypre cipro
pires peggiori
nigel nigel
gain guadagno
war war
excuse scusa
mississippi mississippi
masse massa
raisons ragioni
rencontrent incontrano
diesel diesel
maggie maggie
patrie patria
terme termine
legend legend
assuré garantito
opérer operare
écrivit scrisse
sic sic
éliminé eliminato
magic magic
liturgie liturgia
honduras honduras
recherché ricercato
we we
irina irina
east east
léopold leopoldo
iris iris
vase vaso
extrêmement estremamente
hugo hugo
ajoutés aggiunti
organique organica
porsche porsche
technologique tecnologico
candidate candidata
massachusetts massachusetts
assisté assistito
review review
prédateurs predatori
apparaissent compaiono
# #
motte rocca
mystérieux misterioso
sauvage selvaggio
permettait permetteva
méditation meditazione
finale semifinale
faudrait bisognerebbe
commis commesso
hold hold
bain bagno
wilde wilde
batteur batterista
musicien musicista
ajout aggiunta
rôles ruoli
without without
réflexions riflessioni
syndrome sindrome
souvenir ricordo
mathias mattia
créditée accreditata
disposés disposti
corriger correggere
autorités autorità
niort avellino
windsor windsor
plans piani
durant durante
acceptée accettata
vegas vegas
centrale centrale
aluminium alluminio
procède procede
ru ru
rubrique rubrica
fondée fondata
économique economico
brillante brillante
fall fall
laura patricia
commissions commissioni
scission scissione
bass bass
limitées limitate
chang chang
chester chester
pink pink
femme donna
moritz moritz
portails portali
astronaute astronauta
center center
séjour soggiorno
vénus venere
considèrent considerano
dramaturge drammaturgo
consécration consacrazione
galles galles
continué continuato
localités località
portraits ritratti
canadian canadian
stockholm stoccolma
voulaient volevano
thaïlande thailandia
idéologie ideologia
soufre zolfo
poème poema
recours ricorso
tito tito
provoquer provocare
analyser analizzare
saxe sassonia
corrections correzioni
nation nazione
contrat contratto
théologien teologo
collège collegio
dette debito
conscience coscienza
durée durata
conclu stipulato
savage savage
disputer disputare
roi re
guitares chitarre
peau pelle
liquide liquido
nash nash
voulu voluto
pseudonyme pseudonimo
lequel quale
yellow yellow
franchement francamente
gouvernorat governatorato
thompson thompson
triangulaire triangolare
proposition proposta
sont sono
dépendant dipendente
score punteggio
bénédictin benedettino
dotée dotata
georg georg
gt gt
occupés occupati
tchécoslovaque cecoslovacco
martial marziale
modeste modesta
précédemment precedentemente
jeremy jeremy
repris ripreso
wade wade
patronyme cognome
précieux prezioso
influence influenza
génération generazione
situations situazioni
palerme marsiglia
ruban nastro
récupérer recuperare
citer citare
infos info
logiciels software
dépendance dipendenza
congrès congresso
venise venezia
€ €
évêque vescovo
gagna guadagnò
hearts hearts
cannes cannes
égypte egitto
dessus sopra
rayon raggio
épidémie epidemia
confiance fiducia
contribué contribuito
memorial memorial
peer peer
bientôt presto
espagnols spagnoli
rassemble riunisce
diverses varie
channel channel
renoncer rinunciare
montée ascesa
forestier forestale
concurrent concorrente
match partita
déterminé determinato
support supporto
individu individuo
écho eco
excentricité eccentricità
lutteur lottatore
prête presta
œufs uova
tigre tigre
studio studio
radicale radicale
jules giulio
verbe verbo
asiatiques asiatici
universelle universale
mongolie mongolia
wilhelm wilhelm
araignée ragno
gris grigio
christie christie
bête bestia
compatible compatibile
décident decidono
convoqué convocato
longtemps ormai
révélation rivelazione
éléphant elefante
réservé riservato
commentaire commento
jacob jacob
tropicales tropicali
décorée decorata
avis parere
doctrine dottrina
accompli compiuto
afc afc
small small
main mano
sentiment sentimento
coopérative cooperativa
punk punk
chœur coro
uruguay uruguay
coton cotone
das das
artists artists
trouver trovare
paramètre parametro
nina nina
gear gear
acheter comprare
sportive sportiva
memphis memphis
extrémité estremità
seigneurie signoria
exercices esercizi
shadow shadow
energy energy
javier javier
restants rimanenti
invite invita
fichier file
first first
péché peccato
publicité pubblicità
soi sé
miroirs specchi
seigneur signore
suivent seguono
romande lombardia
pause pausa
brevet brevetto
inspirée ispirata
moteurs motori
bi bi
sert serve
nucléaire nucleare
nœud nodo
profondément profondamente
ajouté aggiunto
placé collocato
salt salt
matière materia
ibn ibn
espérant sperando
opportunité opportunità
atterrissage atterraggio
colonel colonnello
prédécesseur predecessore
renforcer rafforzare
hémisphère emisfero
répète ripete
opération operazione
arriva giunse
rey rey
employé impiegato
population popolazione
haute alta
passant passando
lazare lazzaro
complexe complesso
vus visti
chantée cantata
américains americani
présentateur presentatore
henderson henderson
décide decide
inconnus sconosciuti
budapest budapest
mètres metri
cloître chiostro
atomes atomi
régime regime
productrice produttrice
difficulté difficoltà
impr tip
chapiteaux capitelli
porc maiale
cadavres cadaveri
terminologie terminologia
afrique africa
a_ a_
tendance tendenza
effets effetti
grecque greca
grise grigia
avenue viale
plat piatto
impossible impossibile
vague ondata
particulier particolare
modifier modificare
facteurs fattori
emmy emmy
dédié dedicato
parlement parlamento
symboles simboli
craignant temendo
exercer esercitare
steve steve
extérieur esterno
lampe lampada
environ circa
emi emi
systématique sistematica
russe russa
philips philips
républicaine repubblicana
égyptien egiziano
sportif sportivo
ouvrir aprire
déesse dea
rénové ristrutturato
démarche prassi
tribunal tribunale
trouvait trovava
payer pagare
adhésion adesione
irak iraq
martine carla
naples bordeaux
vivait viveva
métier mestiere
commence inizia
davantage maggiormente
tu tu
newcastle newcastle
déplace sposta
poméranie pomerania
violences violenze
pl pl
naturaliste naturalista
chœurs cori
profonds profondi
rébellion ribellione
développa sviluppò
seraient sarebbero
queen queen
distingue distingue
ibérique iberica
sherman sherman
zones aree
ricardo ricardo
harper harper
varier variare
précises precise
évolution evoluzione
cercle cerchio
triste triste
oh oh
opposa oppose
indian indian
phare faro
parfaite perfetta
penny penny
interruption interruzione
pont ponte
mythologie mitologia
adhérents aderenti
assez abbastanza
décrivent descrivono
pearl pearl
droit diritto
méridional meridionale
trilogie trilogia
house house
kazan kazan
protéines proteine
grèce grecia
attentes aspettative
emma emma
circonscription circoscrizione
ponts ponti
chêne quercia
construits costruiti
$ $
télécommunications telecomunicazioni
constructeurs costruttori
vouloir voler
rupture rottura
éloigne allontana
civile civile
lake lake
couvert coperto
african african
semblables simili
bergame lione
déterminer determinare
poisson pesce
métaphysique metafisica
désigné designato
cardinal cardinale
affaire vicenda
fort forte
chinoise cinese
rencontra incontrò
larmes lacrime
taïwan taiwan
tenir tenere
pèse pesa
écorce corteccia
nova nova
dettes debiti
victoire vittoria
lion leone
révélé rivelato
doctor doctor
marocain marocchino
germain lorenzo
living living
enfants bambini
chaude calda
attaquent attaccano
tente tenta
diplomate diplomatico
airlines airlines
jumeau gemello
ferroviaires ferroviarie
désigne indica
early early
techniquement tecnicamente
itinéraire itinerario
publique pubblica
première prima
navarre aragona
retrouvent ritrovano
co co
chanter cantare
démocratie democrazia
artisanat artigianato
door door
immédiat immediato
du del
palais palazzo
contemporary contemporary
wimbledon wimbledon
compagnies compagnie
futur futuro
son suo
retirer ritirare
belfast belfast
gone gone
raoul guido
réaliser realizzare
cambodge cambogia
société società
constituer costituire
noire nera
faisceau fascio
régulièrement regolarmente
when when
finissent finiscono
indes indie
jumeaux gemelli
beverly beverly
empêché impedito
prouver dimostrare
borough borough
significatif significativo
archéologue archeologo
distances distanze
saints santi
déjà già
miller miller
dorée dorata
heaven heaven
professeurs professori
recherche ricerca
summer summer
progression progressione
back back
devoir dovere
sardaigne corsica
manteau mantello
arrive arriva
consistoire concistoro
potassium potassio
croates croati
précisément precisamente
conrad conrad
chrétien cristiano
barons baroni
connor connor
sebastian sebastian
appartenait apparteneva
décisions decisioni
architecture architettura
sauvé salvato
socrate socrate
philosophie filosofia
claire chiara
inside inside
devient diviene
remplacés sostituiti
font fanno
spin spin
oblast oblast
rats topi
extraordinaire straordinario
médiation mediazione
systems systems
promoteur promotore
naquit nacque
étendait estendeva
suggère suggerisce
vastes vaste
polonais polacco
accumulation accumulo
cirque circo
océanie oceania
à a
trahison tradimento
cohen cohen
utiles utili
croisière crociera
shawn shawn
athlète atleta
diamètre diametro
hauteurs alture
spécialité specialità
articulation articolazione
écrivains scrittori
vacant vacante
turquie turchia
luftwaffe luftwaffe
tubes tubi
elizabeth elizabeth
homosexuel omosessuale
appelait chiamava
parviennent riescono
histoire storia
avancé avanzato
blason stemma
rs rs
territoire territorio
redirect redirect
transformée trasformata
nationaux nazionali
phrase frase
accompagnée accompagnata
finlandais finlandese
volontaire volontaria
sida aids
importants importanti
rituels rituali
catholiques cattolici
wu wu
philippines filippine
titres titoli
effondrement crollo
libye libia
absorption assorbimento
chili cile
allemande tedesca
fast fast
ils essi
grosse grossa
illustrateur illustratore
productions produzioni
dracula dracula
thèse tesi
tang tang
largement largamente
amérique america
dinosaures dinosauri
puissant potente
charbon carbone
demander chiedere
respectives rispettive
pionnier pioniere
lit letto
pieter pieter
wind wind
eduard eduard
casey casey
négatifs negativi
organiser organizzare
palestinien palestinese
comédies commedie
façade facciata
alpin alpino
tennessee tennessee
vaincre sconfiggere
humaines umane
rapidement rapidamente
ferme fattoria
contrôles controlli
élevée elevata
secrètes segrete
cousine cugina
cousin cugino
volant volante
xviie xviii
moléculaire molecolare
xix xix
plancher pavimento
écrite scritta
