explicitly explizit
judged beurteilt
protesters demonstranten
thin dünne
cornelius cornelius
toni toni
emanuel emanuel
patriarch patriarch
raphael raphael
doors türen
división división
bach bachs
how welchen
marry heiraten
cyclist radrennfahrer
married verheiratet
mention erwähnen
discussions diskussionen
biology biologie
undergoing unterzogen
gave vergab
treasure schatz
took richtete
suggested vorgeschlagen
negatively negativ
ruins ruinen
theodor theodor
oscar oscar
hits hits
weapon waffe
identify identifizieren
absence abwesenheit
puts steckt
unusually ungewöhnlich
baptist katholische
cloud cloud
provider anbieter
warning warnung
gaps lücken
air luft
defines definiert
worldwide weltweit
round runde
agency agentur
teacher lehrer
benedict benedikt
assigned zugeteilt
panic panik
under unter
testament testaments
su su
disciplines disziplinen
leipzig leipzig
km/h km/h
survive überleben
maya maya
commission kommission
baptism taufe
costa costa
themselves würden
pressure druck
polish polnischen
verbs verben
ko ko
normal normal
duel duell
lithuanian litauischen
belonged angehörten
gain verschaffen
jin jin
janeiro janeiro
sd sd
decline rückgang
known bekannt
dissolution aufhebung
os os
sc sc
sarajevo sarajevo
line linie
query abfrage
flights flüge
described beschrieb
sergei sergei
toulouse toulouse
adults erwachsenen
entered gelangte
persia persien
ancestors vorfahren
ships schiffe
granite granit
exhibition ausstellung
constantly ständig
affairs angelegenheiten
walter walter
interest interesse
legend legende
saturn saturn
persian persischen
pilots piloten
define definieren
differences unterschiede
dj dj
palazzo palazzo
loire loire
netherlands niederlande
concession konzession
pdf pdf
annual jährlichen
dated datiert
tv tv
informative informativ
embassy botschaft
categorized kategorisiert
bp bp
ditch graben
ghana ghana
latest neueste
confirmation bestätigung
notre notre
radiation strahlung
sings singt
porsche porsche
jennifer jennifer
regiment regiment
violinist violinist
published publiziert
tail schwanz
franciscan franziskaner
transylvania siebenbürgen
miguel miguel
economic ökonomische
gonzález gonzález
expert experte
baronets freiherren
alexander alexander
notoriety bekanntheit
count graf
playstation playstation
directed regie
restaurant restaurant
sally alice
success erfolg
measure maß
unsigned signatur
religion religion
portal portal
encyclopedia enzyklopädie
historian historiker
mid mitte
always stets
xavier xavier
expedition expedition
freedom freiheit
phases phasen
china china
physics physik
considered angesehen
gp gp
} }}}
shipyard werft
unexpectedly unerwartet
federation föderation
depending abhängig
liu liu
vilnius vilnius
etymology etymologie
mythology mythologie
done angefangen
brazilian brasilianische
suffers leidet
martin martin
athletes athleten
pilot pilot
intervention intervention
isabella isabella
ivan ivan
monte monte
mayer mayer
codes codes
ex ex
deletions löschungen
commenced begannen
piece stück
nazi nationalsozialistische
com/watch com/watch
. .
obviously zweitens
culturally kulturell
eva eva
secured sicherte
dialect dialekt
hunting jagd
tool werkzeug
bureau bureau
translated übersetzt
conductor dirigent
cult kult
sa sa
privately privat
rookie rookie
dense dichten
descriptions beschreibungen
ball ball
fun spaß
immediately sofort
reviews rezensionen
niche nische
exclude ausschließen
sp sp
geoff dave
nominated nominiert
plateau plateau
prototypes prototypen
yet überhaupt
practice praxis
traces spuren
argue argumentieren
sean oliver
dr dr
sends schickt
integration integration
augusta augusta
interesting interessante
diseases krankheiten
initiated initiiert
broad breites
filming dreharbeiten
compared verglichen
landing landung
coin münze
quotes zitate
marketed vermarktet
consists besteht
illustration illustration
hospital krankenhaus
innovation innovation
duchess herzogin
partially vollständig
nonsense unsinn
spurs verlängerte
agree zustimmen
technologies technologien
h h
sierra sierra
almost fast
examples beispiele
danger gefahr
bros bros
wood holz
garcia garcia
least mindestens
month monat
rica rica
characteristic charakteristische
historic kulturdenkmal
photography fotografie
auckland vancouver
human menschliche
hurdles hürden
effects effekte
duration dauer
salvador salvador
producer produzent
named benannt
academy academy
electro elektro
russian russischen
cinema kino
again erneut
rené rené
chamber kammer
rue rue
robert helmuth
bk bk
situations situationen
phenomenon phänomen
hoax fake
barbara barbara
anthology anthologie
tallinn tallinn
which das
navy navy
few wenigen
activities aktivitäten
worcester passau
massive massive
unidentified unbekannte
race rennen
texts texten
separate separate
url url
bridge brücke
usage gebrauch
acquired erworben
to zu
accused vorgeworfen
grows wächst
rapper rapper
vicente vicente
randomly zufällig
explosion explosion
active aktiv
reactions reaktionen
atmosphere atmosphäre
aaron aaron
students schülern
gilbert gilbert
oblast oblast
nasa nasa
sword schwert
sources quellen
one einzigen
audience publikum
areas gebieten
blu blu
employed beschäftigte
commands befehle
early frühen
serves fungiert
cinematographer kameramann
employees angestellten
coincidence zufall
closely eng
produce produzieren
archbishop erzbischof
pixel pixel
arms arms
usual übliche
sunk versenkt
percent prozent
gerard gerard
gertrude gertrud
participated teilnahm
defeats besiegt
jonas jonas
books büchern
concerts konzerte
isabel isabel
alternatives alternativen
permitted gestattet
inscriptions inschriften
composers komponisten
société société
ghetto ghetto
obituary nachruf
titles titeln
eduardo eduardo
macedonia mazedonien
added hinzugefügt
better besser
work arbeit
attempt versuch
promotes fördert
leading führende
cz cz
responded reagierte
npov npov
fails verfehlt
versions versionen
igor igor
second zweite
masters masters
navarre navarra
relatives verwandten
vehicles fahrzeugen
film film
mathematician mathematiker
approved genehmigt
az az
opinion meinung
window fenster
weapons waffen
merely bloße
mix mix
vie vie
rangers rangers
monster monster
teeth zähne
discussed besprochen
database datenbank
virus virus
headquartered hauptsitz
xiv xiv
norwegian norwegischen
eyes augen
identity identität
batman batman
cars fahrzeuge
enemies feinde
alpha alpha
warner warner
filled gefüllt
souls seelen
felix felix
variant variante
buried begraben
naming benennung
ottomans osmanen
viewer betrachter
skies himmel
chris mike
much viel
expensive teuer
nathan nathan
keys schlüssel
trouble ärger
canadian schweizer
competes startet
nato nato
integrate integrieren
personally persönlich
psychologist psychologe
brussels brüssel
sebastian sebastian
wrong falsch
provence provence
inspired inspiriert
helsinki helsinki
practical praktischen
years jahren
roll roll
refer nennen
status status
río río
pd pd
italy italien
dave uli
performance performance
greeks griechen
substance substanz
internally intern
norway norwegen
trend trend
lived lebte
director direktor
calm ruhig
investigation ermittlungen
prof prof
ears ohren
battle schlacht
entire gesamte
operas opern
roles rollen
observer beobachter
mw mw
is ist
egg ei
toyota toyota
oh oh
voluntarily freiwillig
melodies melodien
fastest schnellsten
attended besuchte
settlement siedlung
correction korrektur
anita anita
extraction gewinnung
will werde
following folgenden
him ihn
madeleine madeleine
museo museo
downtown innenstadt
née geborene
geology geologie
unsuccessful erfolglos
mixture mischung
okay okay
contribute beitragen
enjoyed genoss
logistics logistik
prevents verhindert
christian christliche
stupid dumm
periodically laufend
chemistry chemie
finance finanzen
julia julia
animals tieren
six sechs
estonia estland
structure struktur
call rufen
municipalities kommunen
ion ion
airport flughafen
resembles ähnelt
through durch
florence florenz
marine marine
eagle adler
alto alto
sisters schwestern
hannah hannah
burgundy burgund
uniform uniform
maria maria
role rolle
administrative administrative
sul sul
palace palast
finland finnland
button knopf
pacific pazifik
blocked gesperrt
disc disc
hometown heimatstadt
genera gattungen
bayer bayer
breaks bricht
tommy tommy
sexuality sexualität
trinidad trinidad
suite suite
independence unabhängigkeit
online online
porto porto
bowen wuppertaler
stronger stärkere
mainland festland
xii xiii
contents inhalt
drama drama
activist aktivist
charlie charlie
tang tang
created geschaffen
important wichtige
romania rumänien
sms sms
dead tote
level stufe
everywhere überall
wagner wagner
rules regeln
census volkszählung
args round
terrace terrasse
robin robin
regular regulären
partner partner
demolished abgerissen
organization organisation
expanded erweitert
significant wesentliche
throne thron
b b
sports sport
asteroid asteroiden
jake jerry
ole ole
liechtenstein liechtenstein
testing tests
princeton bielefeld
merchants kaufleute
museums museen
knee knie
material material
planned geplant
hobby hobby
disaster katastrophe
romeo romeo
depictions darstellungen
announced kündigte
annie annie
nbc zdf
their ihre
ideology ideologie
ladies damen
seen gesehen
expansion expansion
fia fia
already schon
promises versprechen
cases fällen
computer computer
missed verpasst
occurs kommt
discrimination diskriminierung
nationally bundesweit
teenagers jugendliche
torres torres
constructive konstruktive
win gewinnen
missions missionen
prisoners gefangenen
leisure freizeit
ukraine ukraine
travelled reiste
original ursprünglichen
seminars seminare
volunteer freiwilligen
cycle zyklus
traditions traditionen
ability fähigkeit
worlds welten
lord herr
coins münzen
approximately zirka
criticism kritik
assessing beurteilung
and und
gilles gilles
past vergangenheit
autumn herbst
novel kurzgeschichte
miniseries miniserie
dvd dvd
members mitglieder
berger berger
measurements messungen
ep ep
examine untersuchen
positively positiv
thinking denken
maximilian maximilian
survives überlebt
albums alben
treatment behandlung
subsidiary tochtergesellschaft
bands bands
appears erscheint
ju ju
assumptions annahmen
kiev kiew
either entweder
foot fuß
genus gattung
categories kategorien
asserting behauptung
differs unterscheidet
indicates indiz
dust staub
pattern muster
greece griechenland
enters verlässt
lighthouse leuchtturm
horn horn
eponymous gleichnamige
date datum
store laden
participate teilnehmen
child kind
blocking blockiert
poor schlechte
local lokalen
adaptation adaption
moral moralische
lasts dauert
inform informieren
cc cc
pay bezahlen
? ?
viva viva
mustafa mustafa
chile chile
most meisten
arena arena
debates debatten
station station
criteria kriterien
word wort
emmanuel emmanuel
similarly dementsprechend
myspace myspace
princess prinzessin
xp xp
al al
gustav gustav
forests wälder
julie julie
printer drucker
mexican mexikanischen
warrior krieger
ussr udssr
spirits geister
libretto libretto
catch fangen
look schauen
copenhagen kopenhagen
organized organisierte
slovakia slowakei
encounter begegnung
turkish türkische
smaller kleinere
orientation orientierung
ensuing fielen
compete antreten
utah oberbayern
option option
ask nachfragen
archaeology archäologie
survivors überlebenden
behaviour verhalten
daily tägliche
including darunter
click klicken
titus titus
she sie
generations generationen
passion leidenschaft
córdoba córdoba
impressed beeindruckt
uncertain unsicher
improvements verbesserungen
gabriel gabriel
miracle wunder
diary tagebuch
dioceses diözesen
without ohne
henrik henrik
milk milch
sleep schlaf
angle winkel
medieval mittelalterlichen
orient orient
simultaneously gleichzeitig
minsk minsk
confusion verwirrung
corruption korruption
violated verstoßen
expand erweitern
christine christine
forms formen
seniors senioren
qualification qualifikation
answers antworten
lakes seen
nk nk
animation animation
julien julien
earthquake erdbeben
carlo carlo
recommendation empfehlung
iraq irak
compliance einhaltung
manners sitten
houston kaiserslautern
crete kreta
riga riga
try versuchen
algeria algerien
cold kalten
devoted widmete
spin spin
affiliation zugehörigkeit
possesses besitzt
//www //www
cia cia
exceptionally außergewöhnlich
roma roma
book buch
bomber bomber
francesco francesco
references referenzen
undertake durchführen
locomotives lokomotiven
leonardo leonardo
sahara sahara
safe sicheren
yugoslavia jugoslawien
standards standards
basically genauso
central zentralen
f f
protection schutz
document dokument
resides wohnt
churches kirchen
tales geschichten
movement bewegung
rey rey
brief kurze
facto facto
weeks wochen
yellow gelben
metres meter
giorgio giorgio
iranian iranischen
sang sang
object objekt
unix unix
zero null
models modellen
nsw vorarlberger
quality qualität
divorced geschieden
chrysler chrysler
camp camp
classics klassiker
taught unterrichtete
thrown geworfen
airfield flugplatz
comparative vergleichende
centered mittelpunkt
fans fans
alexis alexis
sl sl
drafting ausarbeitung
marc marc
objects objekten
imo imo
pov pov
troops truppen
talkpage diskussionsseite
can kann
disappeared verschwand
cpu cpu
professor professor
france frankreich
wien vienna
sub sub
directly direkt
ring ring
crimes verbrechen
simple einfache
garcía garcía
whether ob
poverty armut
creates schafft
li li
kidnapping entführung
financed finanzierte
invited eingeladen
sophia sophia
motivation motivation
engineers ingenieure
supply versorgen
sainte sainte
motifs motive
eurovision eurovision
leonard siegfried
be werden
supplied geliefert
graphics grafik
treatise abhandlung
feedback feedback
palmer palmer
capitalism kapitalismus
destroy zerstören
educator pädagoge
good gute
usa deutschland
soviet sowjetischen
shouldn meinetwegen
elite elite
aspect aspekt
selected ausgewählt
construction bau
next nächsten
vietnam vietnam
wide breite
overview überblick
logo logo
assurance sicherheit
violence gewalt
became avancierte
spencer rupert
tenure amtszeit
them ihnen
valle valle
invented erfunden
satellites satelliten
produced produzierte
primera primera
retirement ruhestand
volkswagen vw
garbage müll
ali ali
bratislava bratislava
athlete sportler
bury nächster
summarized ausführlich
ru ru
foundations fundament
collectively genannten
half halben
toured tourte
salt salz
wine wein
fell fiel
elevation meeresspiegel
luis luis
reliably vorliegenden
& &
decision entscheidung
giro giro
sud sud
introductory einleitung
merger fusion
fu fu
drafts vorlagen
harder leichter
unless solange
scrapped verschrottet
ronald ronald
discover entdecken
operates betreibt
gorge schlucht
achievements herausragenden
absolutely absolut
meantime zwischenzeit
instead stattdessen
tokyo tokio
surroundings umgebung
consequently infolgedessen
privileges privilegien
atp atp
ts ts
upper untere
candidacy kandidatur
théâtre théâtre
have haben
mother mutter
uruguay uruguay
transmitted übertragung
working gearbeitet
meets trifft
comic comic
karate karate
bang bang
covered abgedeckt
mans mans
administrator administrator
plans pläne
scientist wissenschaftler
officers offizieren
painting malerei
risks risiken
responsibilities aufgaben
redundant überflüssig
yields liefert
sweden schweden
venus venus
village dorf
freestyle freistil
activity aktivität
permission erlaubnis
leone leone
ix ix
delete löschen
flames flammen
football fußball
commonwealth commonwealth
billion milliarden
hunger hunger
rio rio
my meine
come kommen
church kirche
essay essay
accompany begleiten
returns kehrt
wmf wmf
basilica basilika
trio trio
differ unterscheiden
dream traum
outskirts stadtrand
electrons elektronen
throws wirft
diplomatic diplomatische
variants varianten
valencia valencia
memory memory
unions gewerkschaften
export export
deadly tödliche
individual einzelner
gerhard gerhard
civilians zivilisten
sporting sportliche
l l
são são
resources ressourcen
en en
incident vorfall
processing verarbeitung
flute flöte
singular singular
credible seriöse
mohammed mohammed
impacts auswirkungen
malta malta
sultan sultan
solution lösung
reached erreichte
ira ira
manuscripts handschriften
curve kurve
rivals konkurrenten
loves liebt
governments regierungen
poet dichter
archdiocese erzbistum
tank tank
ain ain
universally allgemein
ar ar
specially eigens
remained blieb
received erhielt
destroyed zerstört
highways autobahnen
only nur
fe fe
chi chi
buddha buddha
frequency frequenz
violin violine
sculpture skulptur
pontifical päpstlichen
nose nase
readers lesern
propagation ausbreitung
budget budget
horses pferden
but aber
different unterschiedliche
tunnel tunnel
jazz jazz
mode modus
artist künstler
growing wachsenden
smoke rauch
format format
distinguish unterscheidung
authorities behörden
scene szene
interests interessen
groups gruppen
lack fehlende
brands marken
» »
regional regionale
magazine magazin
running laufen
ruler herrscher
expressions ausdrücken
biologist biologe
journal zeitschrift
serbia serbien
hammer hammer
statistics statistik
seven sieben
cf cf
sunday sonntag
workplace arbeitsplatz
birth geburt
string string
ashes asche
repair reparatur
text text
legendary legendären
tactics taktik
political politische
towers türmen
opposition opposition
routes routen
outcome ergebnis
reference referenz
quarter viertel
refused verweigerte
whoever derjenige
^ ^
arguments argumenten
uses nutzt
ahmed ahmed
improved verbesserten
wedding hochzeit
loaned ausgeliehen
wheels räder
gb gb
losses verluste
cds cds
session session
doc doc
seating sitzplätze
viola viola
raf raf
paradise paradies
ni ni
specialists spezialisten
controversial umstrittene
françois françois
promote fördern
cemeteries friedhöfe
family familie
calcio calcio
stephanie stephanie
own eigenen
vatican vatikan
november mai
exception ausnahme
abbreviated abgekürzt
lightning blitz
interior innern
ne me
technician techniker
− −
opened eröffnet
btw übrigens
sought bemühte
category kategorie
sol sol
coronation krönung
muslims muslime
– –
are sind
slaves sklaven
physician arzt
alphabet alphabet
eg bsp
politics politik
notably anderem
ceramics keramik
simone simone
threatens droht
visual visuelle
starting zum
leopold leopold
louis louis
quran koran
promptly umgehend
torpedo torpedo
lorenzo lorenzo
threatened bedroht
damaged beschädigt
vita vita
alternatively alternativ
½ ½
café café
parma parma
houses gebäuden
invention erfindung
relics reliquien
advancement förderung
heavily stark
shortened verkürzt
bottle flasche
european europäischen
scandal skandal
stomach magen
genres genres
regard hinsichtlich
christmas weihnachten
from aus
bottles flaschen
claudia claudia
artists künstlern
tension spannungen
stanford stanford
transport transport
scientific wissenschaftlichen
factor faktor
muslim muslimischen
mouse maus
montenegro montenegro
haiti haiti
field feld
preparations vorbereitungen
contemporaries zeitgenossen
context kontext
guilty schuldig
colonies kolonien
proof beweis
significantly erheblich
manitoba schaffhausen
as als
conquer erobern
hours stunden
alfred fritz
jupiter jupiter
optical optische
vii vii
bacteria bakterien
gas gas
diplomats diplomaten
member mitglied
miami miami
pi pi
precise genaue
catholics katholiken
ds ds
relate befassen
isolated isoliert
museum museum
greenland grönland
archaeologist archäologe
ram ram
genoa genua
app app
conferences konferenzen
biographies biografien
portugal portugal
tourism tourismus
fascism faschismus
awarded verliehen
wealth reichtum
service dienste
popular beliebte
represents repräsentiert
budapest budapest
courses fächern
high hohe
isaac isaac
poem gedicht
lacking fehlen
follows folgt
fish fischen
atari atari
admins admins
correctly korrekt
contain enthalten
satisfies erfüllt
tones töne
automatically automatisch
match match
averaging durchschnittlich
trips fahrten
willie willi
anatomy anatomie
broke brach
courtyard innenhof
tongue zunge
med med
children kinder
wa wa
speak sprechen
tel tel
position position
fiat fiat
bytes bytes
humor humor
version version
harvest ernte
difficult schwierig
metropolitan metropolitan
baghdad bagdad
uprising aufstand
special spezial
double doppelte
quantities mengen
psychiatry psychiatrie
lines linien
commercially kommerziell
exported exportiert
propaganda propaganda
looks aussieht
limitations einschränkungen
depths tiefen
heirs erben
struck getroffen
vegetation vegetation
let lasst
ch ch
winner gewinner
reform reform
manufacturers herstellern
nigeria nigeria
simulation simulation
controversy kontroverse
oil öl
statues statuen
principles prinzipien
einstein einstein
underground underground
theory theorie
ferry fähre
documentary dokumentarfilm
monk mönch
respective jeweiligen
popularity popularität
avoided vermieden
geometry geometrie
errors fehlern
pont pont
relatively relativ
resemble ähneln
contention bestritten
increasing zunehmende
concrete beton
gets bekommt
calais calais
minutes minuten
codex codex
holds hält
comes geht
mc mc
rocket rakete
maxim maxim
jersey niedersachsen
ik ik
purposes zwecken
direct direkte
decide entscheiden
diagnosis diagnose
seal siegel
fritz kurt
editor hauptautor
neighboring benachbarten
necessary notwendigen
certain bestimmte
copying kopieren
trapped eingeschlossen
temporarily vorübergehend
rodríguez rodríguez
helmet helm
glass glas
mt mt
tuesday dienstag
currently derzeit
olivier olivier
near nahe
commander befehlshaber
photographer fotograf
defendants angeklagten
rudolph rudolph
antarctica antarktis
honduras honduras
sell verkaufen
attention aufmerksamkeit
portuguese portugiesische
catholicism katholizismus
exceed überschreiten
revised überarbeitete
bucharest bukarest
stored gespeichert
dictatorship diktatur
boundaries grenzen
paper papier
communist kommunistischen
extended verlängert
mathematics mathematik
botanical botanischen
iucn iucn
corresponds entspricht
rotation rotation
rare seltenen
resemblance ähnlichkeit
lille lille
malaysia malaysia
influences einflüsse
enemy feind
medical medizinische
lectures vorlesungen
hour stunde
property eigentum
petit petit
loosely lose
ms ms
bs bs
helicopter hubschrauber
marco marco
vs vs
television fernseh
max max
possession besitz
mk mk
speech rede
castle burg
boulevard boulevard
administrators administratoren
linguistics linguistik
claimed behauptete
metal metall
designer designer
nation nation
between zwischen
eu eu
iihf iihf
monarchy monarchie
plausible plausibel
steadily stetig
that dass
photograph foto
former ehemalige
tributary nebenfluss
//archive digitalisat
importantly wichtig
ss ss
marcel marcel
airports flughäfen
exceptions ausnahmen
jesus jesus
colleagues kollegen
martín martín
demise niedergang
parallel parallele
organism organismus
ideas ideen
global globale
differently verschieden
bon bon
un un
racism rassismus
cost kosten
suggestion vorschlag
contribution beitrag
pr pr
fate schicksal
severe schweren
websites websites
wait warten
gng rk
definitions definitionen
celebration feier
supplement beilage
explanation erklärung
prevent verhindern
factions gruppierungen
bust büste
begin beginnen
scored erzielte
empress kaiserin
lambert lambert
atlas atlas
respectively beziehungsweise
alexandria alexandria
mikhail michail
pop pop
replacement ersatz
ok ok
troll troll
neo neo
seats sitze
heart herzen
studying studieren
bomb bombe
repeat wiederholen
remains überreste
golden goldene
during während
system system
marguerite marguerite
device gerät
de de
samples proben
cousin cousin
excluding entfallen
collect sammeln
optional optional
invitation einladung
d d
province provinz
aesthetics ästhetik
alma alma
victoria victoria
dismissal entlassung
account konto
letter brief
source quelle
allan hans
discipline disziplin
appointed ernannt
dos dos
name namen
first erste
or oder
whole ganze
spectators zuschauer
flags flaggen
ki ki
ou ou
four vier
soundtrack soundtrack
workers arbeiter
af af
career karriere
autobiography autobiographie
days tagen
brand marke
piano klavier
flies fliegt
monaco monaco
along entlang
nile nil
op op
seasons spielzeiten
allowed erlaubte
leader anführer
escape entkommen
laws gesetzen
stade stade
interfere kontrollieren
artillery artillerie
hanna hanna
parallels parallelen
takes nimmt
fifa fifa
signed unterschrieb
connection verbindung
murderer mörder
argument argument
segment segment
x x
dissolved aufgelöst
titan titan
mediterranean mittelmeer
praised lobte
rode fuhr
replaced ersetzt
squad aufgebot
lies liegt
… …
renovation renovierung
josé josé
administered verwaltet
ray ray
offices büros
resting ruhen
father vater
sorry sorry
paintings gemälden
tell sagen
siege belagerung
k k
uci uci
entering eintritt
atlético atlético
confidence vertrauen
soul seele
bert willy
seoul seoul
merge einarbeiten
notability relevanz
captain kapitän
anyone jemanden
positions positionen
combines kombiniert
led führte
hk hk
abilities fähigkeiten
description beschreibung
proposals vorschläge
achieve erzielen
aa bl
ever jemals
learns erfährt
nl nl
internet internet
video video
moscow moskau
assistants assistenten
yves yves
loses verliert
placed platziert
weber weber
lutheran lutherische
favoured bevorzugte
trophy trophy
horse pferd
sexual sexuelle
victims opfern
has hat
useful nützlich
classification klassifikation
hansen hansen
samuel samuel
missionaries missionare
regulations vorschriften
videos videos
council rates
outstanding herausragende
_ _
universe universum
bank bank
censorship zensur
smithsonian smithsonian
prince prinzen
low niedrig
end ende
strategic strategische
elements elementen
fruits früchte
implementation implementierung
disturbance störung
beginnings anfänge
so so
technical technischer
surgeon chirurg
n n
vista vista
tonnes tonnen
senegal senegal
cu cu
equivalent äquivalent
trader händler
communists kommunisten
nest nest
( (
illustrations illustrationen
anniversary jubiläum
way weg
clouds wolken
especially insbesondere
platform plattform
bo bo
monkeys affen
rejects lehnt
occasionally gelegentlich
fernández fernández
copyvio urv
sea meer
nhl nhl
eight neun
caucasus kaukasus
living lebende
crown krone
aren wären
chances chancen
protocol protokoll
byzantine byzantinischen
poems gedichten
yu yu
mentor mentor
colour farbe
served fungierte
caves höhlen
clinical klinische
marino marino
forces streitkräfte
girls mädchen
ballad ballade
all alle
andrei andrei
bronze bronze
infection infektion
selection auswahl
catherine katharina
neutrality neutralität
lima lima
una una
suburb vorort
willem willem
mm mm
assistant assistent
attributed zugeschrieben
brewery brauerei
yesterday gestern
garden garten
establishing etablierung
screenplay drehbuch
java java
cohen cohen
lyons bamberger
rap rap
zone zone
designed entworfen
dortmund dortmund
vegetables gemüse
sound klang
practically praktisch
ends endet
attacks angriffe
ah ah
meta meta
watchlist beobachtungsliste
manually manuell
shortly darauffolgenden
control kontrolle
table tabelle
bremen bremen
mecklenburg hessen
risk risiko
nickname spitznamen
ac ac
frankfurt frankfurt
protected geschützt
whatsoever keinerlei
months monate
hell hölle
camera kamera
presence anwesenheit
georg georg
outreach öffentlichkeitsarbeit
rome rom
activists aktivisten
later später
cabinet kabinett
geologist geologe
rivers flüssen
supported unterstützt
decided entschied
management management
standard standard
assassination attentat
sung gesungen
académie académie
oklahoma bayerischen
surprised überrascht
orlando orlando
wisdom weisheit
slam slam
analysis analyse
co co
soldiers soldaten
transformation transformation
louise louise
extends erstreckt
desire wunsch
wings flügeln
montréal lausanne
sons söhne
finger finger
turkey türkei
mausoleum mausoleum
abuse missbrauch
nu nu
compare vergleichen
discontinued eingestellt
pioneer pionier
translations übersetzungen
emails mails
deceased verstorbenen
ea ea
galleries galerien
zhang zhang
japanese japanischen
lac lac
shrine schrein
santos santos
empty leere
called bezeichnete
debated diskutiert
built gebaut
describe beschreiben
gran gran
helena helena
convention convention
presentation präsentation
laugh lachen
strange seltsame
installation installation
responsible verantwortlich
dynamics dynamik
bed bett
prefecture präfektur
meaning bedeutet
eliminated ausgeschieden
katherine agnes
waterfall wasserfall
distribution verteilung
documents dokumente
origins ursprünge
kim kim
santa santa
anna anna
marx marx
countess gräfin
mohamed mohamed
niger niger
element element
helpful hilfreich
copa copa
emma emma
neutral neutralen
tissue gewebe
alba alba
bonaparte bonaparte
acceptance akzeptanz
demand nachfrage
spend verbringen
cruz cruz
rights rechte
, ,
roche roche
illness krankheit
kong kong
several mehrere
clinic klinik
schools schulen
presidency präsidentschaft
considering zumal
list liste
injured verletzten
fleet flotte
strongest stärkste
sculptures skulpturen
less weniger
polo polo
corpse leiche
posthumously postum
likelihood wahrscheinlichkeit
universities universitäten
pole pole
identified identifiziert
sciences wissenschaften
det det
iii iii
beer bier
tan tan
failed scheiterte
toronto zürich
assembly assembly
rural ländliche
ocean ozean
his seine
adolf adolf
xxx xxx
restored wiederhergestellt
why warum
divisions divisionen
accessible zugänglich
priest priester
olympia olympia
suppression unterdrückung
kraków krakau
pianist pianist
class klasse
favour zugunsten
purpose zweck
track track
respond äußern
profits gewinne
! !
explain erklären
sum summe
death tod
hotels hotels
stress stress
serpent schlange
bulgaria bulgarien
coalition koalition
lucas lucas
users nutzern
complexity komplexität
contains enthält
daniel daniel
advisor berater
nobody niemand
serbian serbischen
zoo zoo
possibilities möglichkeiten
pregnancy schwangerschaft
battles schlachten
ip ip
metro metro
sprint sprint
recovered geborgen
otrs otrs
neither weder
lol lol
resolving klärung
exhibited ausgestellt
jew jude
divorce scheidung
establishment einrichtung
agents agenten
student student
versa umgekehrt
searching suche
thriller thriller
proved erwies
would sollte
mystery rätsel
marquis marquis
photographers fotografen
amateur amateur
specialised spezialisierte
' '
recognized anerkannt
luke lukas
tr tr
mall einkaufszentrum
fra fra
increasingly zunehmend
taken genommen
dynasty dynastie
corporation corporation
munich münchen
worse schlimmer
jump springen
building gebäude
jesuits jesuiten
border grenze
sole alleinige
jon ingo
marina marina
retrieved abgerufen
prohibited untersagt
alfredo alfredo
antoine antoine
cabaret kabarett
reduce verringern
blues blues
schneider schneider
graduated studierte
plural plural
river fluss
tennis tennis
disappear verschwinden
ic ic
matrix matrix
demanded verlangte
form form
signal signal
faculties fakultäten
meanings bedeutungen
balkan balkan
iran iran
revolutionary revolutionären
photos fotos
interested interessierte
emperor kaisers
delegation delegation
southwestern nordwestlichen
installed installiert
help helfen
himself selbst
graduates absolventen
murder mord
valuable wertvolle
ice eis
accommodation unterbringung
viceroy vizekönig
bas bas
registered registriert
brain gehirn
provisions bestimmungen
justify rechtfertigen
consequence konsequenz
catholic katholischen
cathedral kathedrale
generation generation
slovenia slowenien
progressed frühzeitig
internal interne
apostles apostel
component komponente
public öffentliche
patients patienten
literature literatur
western westlichen
connect verbinden
belarus weißrussland
vessel schiff
updated aktualisiert
translation übersetzung
hu hu
episode episode
giuseppe giuseppe
act act
reach erreichen
silver silber
adjective adjektiv
dresden dresden
perspectives perspektiven
gary rolf
materials materialien
fast schnellen
gps gps
overly allzu
believed glaubte
synonym synonym
aspects aspekten
sits sitzt
longer länger
realism realismus
government regierung
vast großteil
footballer fußballspieler
petersburg petersburg
strangers fremden
bohemia böhmen
discovered entdeckt
worn getragen
island insel
gun kanone
dragon drachen
merged zusammengelegt
spent verbrachte
recommend empfehle
parentheses klammern
enable ermöglichen
comparison vergleich
order order
thick dicken
egyptian ägyptische
any keinen
pillar säule
discharged befördert
repertoire repertoire
components komponenten
memoirs memoiren
results ergebnisse
sounds klingt
brings bringt
discourse diskurs
apparently offenbar
laurent laurent
syntax syntax
separated getrennt
drove trieb
prestigious renommierten
fruit frucht
offensive offensive
tested getestet
mentally geistig
fix beheben
course kurs
tree baum
miss miss
show show
parliamentary parlamentarische
touch touch
statesman staatsmann
connects verbindet
antwerp antwerpen
triangle dreieck
middle mittleren
calls ruft
energy energie
championships meisterschaften
requires erfordert
steps schritte
despite trotz
feud fehde
builder erbauer
prayer gebet
marketing marketing
bolivia bolivien
outbreak ausbruch
fourth vierte
electronic elektronische
sm sm
friends freunden
introduced eingeführte
personality persönlichkeit
attacked angegriffen
documenting dokumentieren
formerly vormals
