machte hizo
geschäft negocio
zeichen signo
kritikern críticos
hong hong
gedient servido
sterne estrellas
armut pobreza
dürfen podrán
dragon dragon
chemische químicas
earl earl
regionen regiones
einführung introducción
alexis alexis
lothringen lorena
werkes obra
christian christian
lösungen soluciones
toni toni
autorität autoridad
ivan ivan
change change
sam sam
erreicht alcanza
dichterin poetisa
herr señor
erwerben adquirir
atari atari
michele michele
lisa jenny
türen puertas
briten británicos
wohnungen viviendas
my my
augen ojos
erhebungen elevaciones
palace palace
sprache lengua
disziplin disciplina
gene gene
english english
##### │
atlanta atlanta
sozialistischen socialista
jackie jackie
curtis curtis
kliniken clínicas
restaurant restaurante
junior junior
planeten planetas
deutschlands alemania
königin reina
besonderheit particularidad
lewis lewis
verbesserung mejora
modul módulo
lot lot
konsequenzen consecuencias
professor profesor
eth unam
auszeichnung galardón
bayerischen peruana
ladung carga
restauration restauración
diagnose diagnóstico
künstlern artistas
inschrift inscripción
wohlstand prosperidad
startet compite
hochaltar retablo
kehrten regresaron
second second
linux linux
schrieb escribió
profil perfil
beziehungsweise respectivamente
mörder asesino
catherine catherine
punk punk
herzinfarkt infarto
ellen ellen
anbindung conexión
verloren perdieron
feind enemigo
frau mujer
engen estrechos
achsen ejes
folgten siguieron
stiftskirche colegiata
kritisiert criticado
juden judíos
achse eje
technisch técnicamente
sul sul
geschichten historias
drehbuchautor guionista
schach ajedrez
freud freud
erweiterung ampliación
dr dr
schule escuela
truppe tropa
abteilungen divisiones
review review
klubs clubes
other other
ablehnung rechazo
umfeld entorno
referenzen referencias
bordeaux burdeos
parlamentarischen parlamentaria
brechen romper
reduziert reducido
night night
cup cup
watch watch
beobachtungen observaciones
colin colin
figuren figuras
wüste desierto
apotheke farmacia
marc marc
tabelle tabla
konvention convención
übrigens supongo
senegal senegal
clans clanes
aargau jalisco
jährliche anual
reaktionen reacciones
janeiro janeiro
gattungen géneros
begab embarcó
wasserstoff hidrógeno
darauf tomando
value value
alessandro alessandro
homosexualität homosexualidad
eva eva
befehl órdenes
gelesen leído
bewohnt habitada
sms sms
angelegenheiten asuntos
filter filtro
fügt añaden
episode episodio
fielen cayeron
infrastruktur infraestructura
association association
politischen políticos
holz madera
versailles versalles
bibliothek biblioteca
blu blu
kent kent
nikolaus basilio
unteren inferior
manchester manchester
praktische práctico
leslie leslie
illustration ilustración
zentralen centrales
event evento
kürzere cortas
bevölkerung población
delegation delegación
verfügte disponía
präfektur prefectura
böse malvado
schönheit belleza
religiöse religiosas
jüdischen judía
aspekten aspectos
hrsg coord
sucht busca
harte duras
russischen rusa
äquivalent equivalente
radsport ciclismo
zentren centros
existierenden existentes
bewohnern residentes
bilden forman
auckland auckland
hardware hardware
wiederholung repetición
material material
schlange serpiente
hamilton hamilton
howard howard
carter carter
wikipedias wikipedias
verfasser autor
ereignissen acontecimientos
kurs curso
bang bang
wettbewerben concursos
antarktis antártida
nachricht mensaje
ranking ranking
mars mars
formen formas
überwiegend mayormente
kämpfe combates
leistungen logros
ausbreitung propagación
olympique olympique
munition munición
champions champions
vater padre
decke techo
übersetzte tradujo
court court
risiken riesgos
verluste pérdidas
ali ali
abschaffung abolición
gruppe grupo
erobert conquistado
dienen sirven
duncan duncan
visuelle visuales
yu yu
platin platino
tempo tempo
rené rené
bein pierna
episoden episodios
details detalles
verläuft atraviesa
erlauben permiten
präsent presente
haut piel
administrator administrador
bietet ofrece
google google
their their
tiefe profundidad
erwähnen mencionar
youth youth
verursacht causado
oh oh
hielt mantuvo
reform reforma
gitarren guitarras
tunnel túnel
hard hard
homer homero
venus venus
stadtgemeinde municipalidad
niedrigen elevados
nd nd
fiktiven ficticia
engagement compromiso
rezension reseña
kathedrale catedral
maine maine
spricht habla
physik física
ad ad
erklärung explicación
economic economic
pianist pianista
kombinationen combinaciones
os os
gebildet formado
wissenschaftlichen científica
bringt trae
tokio tokio
geografische geográficas
free free
drive drive
fsv atlético
flasche botella
kinos cines
indian indian
park park
teilt comparte
wars wars
schildert narra
life life
allan allan
spät temprano
live vivo
murray murray
archäologie arqueología
bewegung movimiento
spring spring
birmingham birmingham
sofortige inmediata
variation variación
secret secret
florence florence
veränderungen cambios
hinzufügen añadir
theologie teología
news news
kw kw
record record
darwin darwin
klassische clásicas
stark fuertemente
helena helena
katalog catálogo
aufweist carece
konnten pudieron
zielen objetivos
gibt hay
schweizer mexicano
harten duros
montgomery montgomery
angeordnet dispuestas
risiko riesgo
denver denver
bilder imágenes
gräber tumbas
illustrationen ilustraciones
y z
konzert concierto
yang yang
exemplaren ejemplares
kanadische canadiense
mitglied miembro
auftritt aparición
she she
malerin pintora
fotografien fotografías
überregionalen radiales
affen monos
kenneth kenneth
quadrat cuadrado
lizenzen licencias
beschreibung descripción
gitarristen guitarristas
unbekannten desconocidos
böden suelos
asiatischen asiática
charlotte charlotte
verlinken enlazar
zusätzlichen adicionales
une dans
here here
verbringen vivir
abraham abraham
irish irish
verbesserte mejoró
kalkstein caliza
unit unit
massachusetts massachusetts
eurovision eurovisión
müssen deben
k k
temperatur temperatura
pferden caballos
depot depósito
kinofilm película
rasch rápidamente
terry jim
füßen pies
anime anime
hannover hannover
tenor tenor
gegenüberliegenden enfrente
liefert proporciona
wien madrid
hits hits
nun ahora
ämtern cargos
krönung coronación
portal portal
vorfahren antepasados
arms arms
glasgow glasgow
nordamerika norteamérica
xi xi
viii viii
konservativen conservadores
oliver oliver
zyklus ciclo
ruhe calma
angriff ataque
grabungen excavaciones
susan susan
german german
skandal escándalo
organisieren organizar
nmupdate fecha_descubrimiento
erklärten declararon
staub polvo
vampire vampire
reaktion reacción
einbrachte valió
schwager cuñado
leere vacía
zwanzig veinte
verziert decorada
ganzer enteros
schallplatten discos
überprüfen comprobar
lang largo
ausnahme excepción
großvater abuelo
diskussionen discusiones
wasserfall cascada
forschungen investigaciones
demonstranten manifestantes
dienst servicio
gefängnis cárcel
beobachtet observado
european european
wachstum crecimiento
regierungszeit reinado
kosovo kosovo
ähnlichkeiten similitudes
mittelalterliche medieval
hinterlassen dejado
xxx xxx
pistole pistola
formeln fórmulas
florenz florencia
enge estrecha
wanderweg sendero
discovery discovery
sky sky
popularität popularidad
empfehlung recomendación
pädagogik pedagogía
hills hills
in en
bricht rompe
klassischen clásicos
hohe elevado
salvador salvador
rau delgado
place place
dauerte duró
front front
fiat fiat
that that
erwartungen expectativas
ökologie ecología
weder tampoco
genre subgénero
rote rojo
jesus jesus
gordon gordon
terminal terminal
etwas algo
law law
entführung secuestro
chemical chemical
stories stories
on on
funktion función
überwinden superar
thematik temática
mauern murallas
behinderung discapacidad
orten lugares
zweiten segunda
hügel colina
norton norton
sts sts
gesetzgebung legislación
jay jay
abt abad
publishers publishers
kurzzeitig brevemente
aktualisiert actualizado
motoren motores
goethe goethe
genf ginebra
portugiesisch portugués
zeiten tiempos
konsul cónsul
or or
bestimmtes determinado
concert concert
repertoire repertorio
getestet probado
gitarrist guitarrista
welle ola
fotograf fotógrafo
franzosen franceses
grenzen límites
krim crimea
meinung opinión
architekten arquitectos
ersatz reemplazo
cold cold
rückkehr regreso
bedeckt cubierto
delhi delhi
leser lector
familie familia
katholischen católica
project project
val val
benny benny
fa fa
hallo hola
bestimmte determinadas
ji ji
asien asia
freundschaftsspiel amistoso
existieren existen
africa africa
laufen correr
sie ella
essay ensayo
greg chris
nie nunca
spaß ganas
cooper cooper
teufel diablo
hinter detrás
iranischen iraní
ankunft llegada
heutigen actuales
gegenüber frente
kompetenzen competencias
schnellen rápidos
augusta augusta
hoffnung esperanza
mm mm
academy academy
vorbereitet preparado
geburt nacer
nigeria nigeria
entdecker descubridor
folk folk
allianz alianza
fortgeführt continuado
dieser esa
delta delta
massaker masacre
gang escape
kopien copias
angenommen sugerido
kaukasus cáucaso
denken pensamiento
lebten vivían
date date
jeffrey jeffrey
great great
richtlinie normativa
p p
signale señales
produzenten productores
strömungen corrientes
widmete dedicó
geriet vio
johann gaspar
gefolgt seguidos
könnte podría
klima clima
round round
adventure adventure
streitigkeiten disputas
gitarre guitarra
α α
umgeben rodeada
darunter incluyendo
nachdem después
nora nora
begleitete acompañó
school school
kenia kenia
jeweilige respectivo
otto ernst
melodien melodías
erklärte declaró
befanden encontraban
radar radar
wachsen crecen
wissenschaften ciencias
entdecken descubrir
perspektiven perspectivas
entdeckte descubrió
unser nuestro
eintragen agregar
fällen casos
sees lago
übernimmt asume
verstorbenen difunto
fame fame
gewerkschaft sindicato
benennen nombrar
ozean océano
vorschläge propuestas
inspiriert inspirado
left left
maler pintor
verfügbar disponible
friedrich federico
bruch ruptura
christina christina
wasserfläche superficie
crazy crazy
diskussion discusión
verurteilung condena
ungarischer húngaro
polnische polaca
https https
verwendung utilización
rhode rhode
chuck chuck
track track
zusammenarbeit colaboración
stärken fortalecer
dreieck triángulo
diskriminierung discriminación
? ?
entsteht origina
milano milano
wächst crece
cu cu
wirtschaftswissenschaftler economista
gesucht buscado
girls girls
weimarer weimar
männliche masculina
institutionen instituciones
hanna hanna
patienten pacientes
sexuelle sexual
libyen libia
schaden daño
schiffen barcos
berechnen calcular
panik pánico
hektar hectáreas
beherbergt alberga
geographic geographic
vorteile ventajas
ep ep
points points
zufolge afirman
woanders acá
and and
tschechischer checo
situation situación
flagge bandera
warner warner
bond bond
\\ \\
übergab entregó
innenhof patio
lernt aprende
wu wu
gustav gustav
bruder hermano
lucy lucy
steven steven
kongregation congregación
harper harper
modellen modelos
reformen reformas
konkreten concretos
labour laborista
damaskus damasco
kunden clientes
legion legión
wohnsitz residencia
alliierten aliadas
produzieren producir
ms ms
gb gb
existierte existió
freiwillig voluntariamente
instanz instancia
vieles cómo
ronald ronald
phillips phillips
katze gato
mittelfranken piura
parallel paralelamente
herausgegeben editado
umfrage encuesta
unsere nuestras
krakau cracovia
speed speed
gekennzeichnet marcado
sehr muy
ägyptischen egipcia
zutreffend obvio
lee lee
zeugt constancia
ngc ngc
expansion expansión
il il
fuhr corrió
energie energía
festung fortaleza
essex essex
stadtrand afueras
variablen variables
athleten atletas
marine marina
länge longitud
bekanntheit notoriedad
eye eye
cd cd
ecke esquina
düsseldorfer madrileños
mo mo
anzubieten ofrecer
studieren estudiar
malte pintó
durchgeführt realizado
passage pasaje
besiegte derrotó
ki ki
zweck propósito
seine su
oregon oregon
norm norma
fi fi
fisher fisher
irving irving
komponisten compositores
wasser agua
grün verde
sinfonie sinfonía
electric electric
schlechte malas
kanada canadá
besitzer dueño
abwesenheit ausencia
vergessen olvidado
jerusalem jerusalén
, ,
led led
carolina carolina
regierte gobernó
ph ph
afghanistan afganistán
geschrieben escrito
stets siempre
ocean ocean
bischof obispo
kommunismus comunismo
phänomen fenómeno
zwölf doce
gesetz ley
mass mass
maske máscara
bedrohung amenaza
hinreichend suficientemente
originalen originales
let let
ta ta
veranlasste motivó
index índice
methoden métodos
statistiken estadísticas
eingeführt introducido
& &
zwei dos
terra terra
musikerin compositora
tropischen tropicales
restaurants restaurantes
beenden terminar
vice vice
gefunden encontrado
ökologische ecológico
chor coro
elektronischen electrónicos
horror horror
fox fox
sängerin cantante
gegründet fundada
überlebenden sobrevivientes
px px
leben vida
direkte directa
waffen armas
verarbeitung procesamiento
freien libres
maps maps
angabe válida
endgültige definitiva
history history
individuen individuos
cinema cinema
rassismus racismo
internationale internacional
jubiläum aniversario
tennisspieler tenista
kulturellen culturales
rob dave
fernseh televisión
unterstützen apoyar
problemen problemas
arbeitete trabajó
zeigen muestran
entworfen diseñado
römische romano
liechtenstein liechtenstein
garten jardín
ce ce
beyer fischer
batterien baterías
frühling primavera
brooklyn brooklyn
szenen escenas
erklärt declara
kalten fría
als como
wählt elige
bowl bowl
erlass decreto
grenzt limita
ain ain
kilometer kilómetros
unterschrift firmada
gleichung ecuación
avenue avenue
teilnehmenden participantes
ausgedehnte extensas
einige algunas
standards estándares
fusion fusión
cum cum
weiterbildung capacitación
vollständige completa
sieben siete
hugo félix
spirit spirit
schwert espada
joe joe
autoren autores
wings wings
ukraine ucrania
flammen llamas
genommen sacado
cpu cpu
humboldt humboldt
station estación
wall wall
teile partes
designer diseñador
thomson thomson
ll ll
landwirtschaft agricultura
jutta yolanda
geboren nació
geschützt protegido
werkstatt taller
pionier pionero
fußballverein milita
aktiv activamente
böhmen bohemia
armee ejército
willen voluntad
nur sólo
havanna habana
amerikanischen norteamericana
bobby bobby
reinigung limpieza
schlüssel llave
dell dell
dient sirve
byzantinischen bizantina
anwenden aplicar
dreams dreams
ganze todo
südafrika sudáfrica
donau danubio
gedacht pensado
jo jo
but but
portland portland
ka ka
gedruckt impreso
saudi saudita
have have
verkauft vendido
stabile estable
materialien materiales
basketball basketball
wirklichkeit realidad
ben ben
lebt vive
% %
himmel cielo
interessen intereses
kandidaten candidatos
rekord récord
which which
rogers rogers
technologie tecnología
elektrische eléctrica
maria maria
polizei policía
gab hubo
eingestuft catalogado
ku ku
mentor mentor
traum sueño
mehreren varios
dörfer aldeas
eingang entrada
catholic catholic
sciences sciences
diplomatische diplomáticas
bevorzugen prefieren
österreichischen chilena
konzentriert concentra
sic sic
austin austin
abdul abdul
gewisse cierta
verstehen entender
zweig rama
republik república
dreimal consecutivas
savoyen saboya
warum ¿por
natürliche natural
republikanische republicano
philosoph filósofo
star star
webseite web
bist eres
königreich reino
beinhaltet incluye
konzil concilio
tennessee tennessee
verzeichnet registra
auflagen ediciones
eröffnen abrir
werkzeuge herramientas
love love
europäischen europea
wikimedia wikimedia
ice ice
stehen aparecen
außerdem además
pfund libras
herzen corazón
moskau moscú
volksmusik folclórica
verantwortung responsabilidad
persönlichkeiten personalidades
werbung publicidad
höheren superiores
gelang consiguieron
plattformen plataformas
hughes hughes
schriftsteller escritor
wiegt pesa
stanford stanford
weisheit sabiduría
ausreichende suficiente
palast palacio
sorry me
duke duke
kingston kingston
chi chi
zirkus circo
hexe bruja
rein puramente
europe europe
freie libre
finanzieren financiar
gewinner ganadores
poly lugarnac
denke pienso
ausgestrahlt transmitido
somit cual
columbus columbus
zurückgezogen retirado
nebraska kentucky
council council
moderator presentador
belle belle
botschaft embajada
durchführen realizar
christmas christmas
→ >
zunächst primeramente
jahrhunderts siglo
gebiet área
wladimir vladímir
fürstentums principado
notwendige necesaria
against against
cincinnati cincinnati
cf cf
cleveland cleveland
schema esquema
org org
beitragen contribuir
alten viejos
paar montón
high high
füllen llenar
technik técnica
durchgesetzt adoptado
productions productions
premier premier
strahlung radiación
vorübergehend temporalmente
prof prof
öffentlich públicamente
centre centre
kollege colega
konflikt conflicto
mangel deficiencia
wahrscheinlichkeit probabilidad
thron trono
genaue exacta
cook cook
messen medir
kommissar comisario
künstler artista
train train
stadien estadios
angeblich supuestamente
percy percy
modern modern
karate karate
andrea andrea
voller lleno
atlantic atlantic
interessant interesante
back back
burg castillo
enterprise enterprise
spiels juego
w w
gelten consideradas
spannungen tensiones
maus ratón
öffentlichen públicos
selbst él
ihre sus
fish fish
marmor mármol
brücke puente
mechanik mecánica
th th
wechsel incorporación
spaltung escisión
wirtschaftliche económica
bonus bonus
geographischen geográficos
erwähnten mencionados
verfügbaren disponibles
breites amplio
literarischen literarios
usw etc
meist generalmente
dollar dólares
four four
blanc blanc
roger roger
bridge bridge
rettung rescate
komponierte compuso
auseinandersetzungen enfrentamientos
preußen prusia
call call
gelegene situado
performance performance
andré andré
therapie terapia
oblast óblast
palma palma
behandeln tratar
jahrhunderte siglos
ausland extranjero
sekretär secretario
erwachsenen adultos
schaffung creación
größe tamaño
moderatorin presentadora
solothurn zacatecas
mount mount
stieg ascendió
arbeiten trabajos
archäologen arqueólogos
camp camp
peace peace
erfahrung experiencia
behauptung afirmación
clinton clinton
beobachtung observación
sexuellen sexuales
schicht capa
großbritannien bretaña
rand borde
definitionen definiciones
altar altar
krise crisis
entspricht equivale
albanien albania
identität identidad
filme películas
marshall marshall
auflösung disolución
wann cuándo
sah veía
ähnlichen parecidos
stimmen votos
unterscheiden diferencian
wiederholen repetir
beta beta
architekt arquitecto
mill mill
haiti haití
korrekturen correcciones
lizenz licencia
flora flora
esther raquel
zunahme aumento
angestellten empleados
grundlegenden fundamentales
edith edith
herkunft origen
kurve curva
instrument instrumento
unterart subespecie
harold harold
meisterschaften campeonatos
code código
japanische japonés
körper cuerpo
dennis dennis
bayer bayer
ursula cecilia
entscheidende crucial
niemand nadie
emigrierte emigró
pol pol
generationen generaciones
mannschaften equipos
fein fino
japanischen japonesa
absolute absoluta
libanon líbano
drittel tercio
take take
ziel objetivo
schaffte logró
monaco mónaco
haus casa
hey hey
rocky rocky
clark clark
dauerhaft permanentemente
grau gris
gallery gallery
handlung trama
verbandsliga platense
richardson richardson
japan japón
enthält contiene
brasilien brasil
guitar guitar
taucht aparece
meilen millas
study study
gedanken pensamientos
rex rex
gil leon
und y
leiten dirigir
studio studio
home home
eagle eagle
fair fair
richtlinien normas
roche roche
sprechen hablar
botanik botánica
verwaltungs administrativo
repräsentiert representa
blättern hojas
organisierte organizó
kombination combinación
möchte desea
walk walk
donald donald
ehren honor
programm programa
pianisten pianistas
forest forest
bukarest bucarest
pflanzenarten especies
verschwörung conspiración
building building
next next
wwe wwe
schutz protección
angebliche supuesta
passagen pasajes
griechenland grecia
β β
view view
irgendjemand alguien
durchzusetzen imponer
schmetterling mariposa
inside inside
erfüllt cumple
rechtlichen legales
projekten proyectos
tempels templo
anfangen empezar
tang tang
half ayudó
erneuten tras
java java
strukturen estructuras
kind niño
brasilianischer brasileño
madagaskar madagascar
conservation conservation
dritter tercero
as as
sandra sandra
straftaten delitos
null cero
statistische estadístico
piraten piratas
gedächtnis memoria
erneut nuevamente
gewannen ganaron
unterzeichnete firmó
berry berry
norwegen noruega
emilia emilia
abriss demolición
fleisch carne
electronic electronic
nacht noche
klarinette clarinete
vorgestellt presentado
schwester hermana
und/oder y/o
songs canciones
kurze breve
communes communes
regeln reglas
genua génova
unterworfen sometidos
old old
bomben bombas
kelch cáliz
gesungen cantado
wales gales
erobern conquistar
gefahr peligro
porträts retratos
donnerstag miércoles
verbleibenden restantes
gebiete áreas
forbes forbes
adrian adrian
tunesien túnez
roll roll
oberschule secundaria
involviert involucrado
caroline caroline
erinnerung recuerdo
kern núcleo
ureinwohnern amerindios
industrielle industrial
sprachen lenguas
france france
ford ford
unterstützte apoyó
studien estudios
unterteilt divide
volksmund popularmente
atp atp
gearbeitet trabajado
arno hugo
gelingt logran
spitznamen apodo
versuchte intentó
trainer entrenador
match match
drogen drogas
golden golden
sport deportes
med med
streifen franja
fragment fragmento
anzahl cantidad
beverly beverly
abc abc
temperaturen temperaturas
gun gun
erstreckte extendía
schauspielern actores
reichte llegaba
standorte ubicadas
militärischen militares
halbsperre semiprotección
grönland groenlandia
singles singles
platziert colocado
ersetzte sustituyó
kiss kiss
kapitalismus capitalismo
automatische automática
aufstand revuelta
reference reference
max max
schlachten batallas
straßen calles
verhalten comportamiento
philosophie filosofía
veröffentlichte publicó
monica monica
klare claras
versucht intentando
bewegen moverse
organisiert organizado
helmuth osvaldo
line line
( (
juli agosto
arbeitnehmer trabajador
insbesondere especialmente
publications publications
schwarze negro
//www //www
ethnie etnia
hope hope
class class
mario mario
geologie geología
republic republic
messung medición
beobachter observador
vorzugsweise preferentemente
beziehung relación
gelegentlich ocasionalmente
moschee mezquita
wiederaufbau reconstrucción
beschriebenen descritos
zuerst primero
kommando mando
fordern exigir
hätte hubiera
société société
christus cristo
geruch olor
normandie normandía
reiche ricas
einigen algunos
brachte trajo
arabien arabia
konzipiert concebido
beschreibt describe
befinden encuentran
freiheit libertad
stammen proceden
geschmack gusto
unesco unesco
angeles angeles
natur naturaleza
letzten últimos
leuchtturm faro
alexander alejandro
verstärken reforzar
welt mundo
variationen variaciones
autobahnen autopistas
beilage suplemento
geburtsort nacimiento
zeitgenössischer contemporáneo
auguste auguste
anwendungen aplicaciones
peking pekín
objekten objetos
italien italia
ein un
keramik cerámica
car car
feine finas
set set
saison temporada
sitzungen sesiones
beliebte populares
vie vie
willy oscar
lanka lanka
seoul seúl
men men
rezensionen reseñas
tänzer bailarín
kündigte anunció
holocaust holocausto
kupfer cobre
diplomaten diplomáticos
fusionierte fusionó
vertrauen confianza
ergebnissen resultados
stolz orgullo
chester chester
limited limited
herzöge duques
paket paquete
bedeuten significar
mengen cantidades
kirchenschiff presbiterio
leber hígado
nerven nervios
burgund borgoña
notwendig necesario
sonderlich tan
ballett ballet
mehrzahl mayoría
vizemeister subcampeón
der la
ruinen ruinas
wirtschaftlich económicamente
akzeptieren aceptar
keine ninguna
vorangegangenen previos
größten mayores
kaufte compró
amateur amateur
machen hacer
verlags editorial
foren foros
krieg guerra
million millón
minderheit minoría
beste mejor
georges georges
lehren enseñanzas
order order
bestätigt confirmado
ostsee báltico
ethik ética
height height
bc bc
elementen elementos
ohne sin
opposition oposición
bird bird
unabhängigkeit independencia
talent talento
hingegen mientras
mathilde matilde
schützen proteger
marseille marsella
teilweise parcialmente
gr gr
mhz mhz
tagen días
hintere delantera
china china
seattle seattle
× ×
pseudonym seudónimo
lloyd lloyd
persönlich personalmente
tourismus turismo
bezieht refiere
rock rock
türkei turquía
sterben morir
ferdinand ferdinand
getauft bautizado
solches tal
späten tardío
wörtlich literalmente
briefe cartas
dance dance
douglas douglas
entscheiden decidir
casino casino
worte palabras
algebra álgebra
afrika áfrica
mord asesinato
prinzessin princesa
überlebte sobrevivió
französische francesa
formel fórmula
jack jack
erzielt conseguido
konsens consenso
theatre theatre
regiert gobernado
integration integración
madonna madonna
inschriften inscripciones
schließlich finalmente
off off
ian ian
mafia mafia
anhöhe loma
ländlichen rurales
kolonien colonias
joyce joyce
walt walt
regierungen gobiernos
interessiert interesa
kannte conocía
verhandlungen negociaciones
wirtschaft economía
stadion estadio
hot hot
simpson simpson
astronomie astronomía
bella bella
soundtrack soundtrack
inc inc
adressen direcciones
wahrheit verdad
wählen elegir
produzierten producidos
agieren actuar
region región
führten llevaron
detaillierte detallado
gelehrter erudito
kräfte fuerza
verpflichtungen compromisos
julian julian
aviv aviv
ray ray
amtmann corregidor
überzeugen convencer
später posteriormente
versionen versiones
interaktion interacción
breit ancho
philosophen filósofos
demo demo
bedeutung importancia
vertreibung éxodo
heart heart
existiert existe
bevor luego
schüler alumno
tokyo tokyo
gleichen mismo
underground underground
vereinten unidas
canada canada
carol carol
praxis práctica
jakob jacobo
for for
übersetzung traducción
entschloss decidió
krankheiten enfermedades
nancy nancy
jährlich anualmente
trans trans
flüssigkeit líquido
algerien argelia
kabarettist humorista
hoher alto
camille camille
norfolk norfolk
neue nuevo
zerstörung destrucción
darf podrá
cool cool
miller miller
erde tierra
stop stop
illustrator ilustrador
lille lille
staatsangehörigkeit nacionalidad
irak irak
johannes juan
kirchen iglesias
wählte eligió
gruppierung facción
falkenstein garcés
diesem dicho
navy navy
ernannte nombró
road road
optional opcional
wurzel raíz
brothers brothers
mrs mrs
tag día
privat privado
vor se
verschieden diferente
trennen separar
burgen castillos
unabhängig independientemente
verteidigt defendido
september mayo
mix mix
galerien galerías
frequenzen frecuencias
plus plus
austausch intercambio
à à
das el
wells wells
hannah hannah
tausende cientos
wood wood
princeton princeton
group group
indonesien indonesia
fähigkeit habilidad
eugène eugène
mauer muralla
gestein rocas
lena lena
berühmt famoso
änderte cambió
trägt lleva
stiftungen fundaciones
modernen modernos
ändert cambia
david david
gesellschaften sociedades
ibm ibm
fühlen sienten
stone stone
master master
verlassen abandonar
sir sir
monat mes
diagramm diagrama
streng estricto
bands bandas
verboten prohibido
werten valores
reist viaja
freund amigo
phasen fases
carl carl
stationen estaciones
notwendigen necesarios
journalismus periodismo
verletzungen lesiones
chef jefe
com/watch com/watch
bemühungen esfuerzos
größere mayor
musik música
koalition coalición
explosion explosión
nature nature
aktive activa
müsste debería
schreibt escribe
gesprochen hablado
wählten eligieron
direkt directamente
spitzen puntas
durften solían
symbolisiert simboliza
mythos mito
split split
plattform plataforma
gunter horacio
gewinnen ganar
ständig continuamente
gefangenschaft cautiverio
leichen cadáveres
geschlossenen cerrados
kommunisten comunistas
texas texas
science science
gepflegt mantenido
challenge challenge
norwegischer noruego
adligen nobles
tradition tradición
franz manuel
~ ¿
welchen cuáles
problematik problemática
gehört pertenece
befahl ordenó
ok ok
parade desfile
university university
westen oeste
üblicherweise normalmente
erinnert recuerda
ferrari ferrari
papst papa
ereignis acontecimiento
australischen australiana
campbell campbell
blake blake
guy guy
gewählt elegido
gloria gloria
budget presupuesto
endgültig definitivamente
kümmern cuidar
selber quién
viola viola
kugeln bolas
flying flying
relevanz relevancia
lässt tiende
richmond richmond
runde ronda
mad mad
berges monte
beschleunigung aceleración
health health
symbol símbolo
kapitel capítulo
problem problema
erlaubte permitía
angehörte integró
erst antes
xiii ix
erdöl petróleo
genehmigung autorización
oberst coronel
treffen reunirse
form forma
plant planea
edition edition
wärme calor
über sobre
gestartet programado
detroit detroit
bayerischer peruano
ausgedrückt expresado
tourneen giras
systems dual
läuft sale
benutzte utilizó
wellington wellington
kroatische croata
zerstört destruido
schnelle rápido
laufend periódicamente
sache cosa
beantworten responder
white white
dvd dvd
kandidierte electo
günter rogelio
grundlagen fundamentos
sauerstoff oxígeno
erhielt recibió
krone corona
passagiere pasajeros
tiger tiger
faschismus fascismo
brigade brigada
lokalen locales
tower tower
angebot oferta
bestimmung determinación
kleine pequeño
verwaltet administrado
wiedergewählt reelegido
seed seed
anzusehen considerarse
medaillen medallas
gemischt mezclado
politisch políticamente
argumenten argumentos
grauen grises
nächsten saliendo
großteil totalidad
beethoven beethoven
engeren propiamente
norbert gerardo
death death
technologien tecnologías
gewidmet dedicado
gütersloh ecuatoriana
akt acto
nachrichten noticias
trockene secas
pictures pictures
element elemento
anton anton
€ €
edinburgh edimburgo
baltimore baltimore
trek trek
jamie jamie
freundschaft amistad
auch también
konten cuentas
schauen mirar
früchten frutas
edwin edwin
hood hood
westlichen occidental
kreta creta
lehrt enseña
aufforderung petición
verfassen redactar
bangkok bangkok
canadian canadian
polizisten policías
wirtschaftlichen económicos
alfons raimundo
chinesisch chino
rekorde récords
erhielten recibieron
games games
said said
suzuki suzuki
rollen roles
wave wave
deep deep
gläubigen fieles
netz red
erfolgreichen exitosa
seltsame extraña
basilika basílica
atmosphäre atmósfera
delle delle
age age
anforderungen requerimientos
crystal crystal
playstation playstation
oslo oslo
lücke brecha
systematische sistemática
heutige actual
benachbarten vecina
worden previamente
baden cárdenas
eigenschaften propiedades
today today
zeitungen periódicos
di di
glass glass
gerieten vieron
beobachten observar
newton newton
inseln islas
ansicht vista
baute construyó
ac ac
zumal pues
dawn dawn
ausgeht piensa
genehmigt aprobado
konnte pudo
myspace myspace
begannen iniciaron
asche cenizas
helsinki helsinki
program program
schluss concluye
michael michael
tödliche mortal
up up
flotte flota
special special
paare parejas
programmen programas
arabischer árabe
pearl pearl
nation nación
vergeben entregado
toulouse toulouse
xbox xbox
bayern perú
verkaufen vender
louise louise
versehentlich accidentalmente
synonym sinónimo
meyer meyer
sechs seis
alain alain
monarchie monarquía
palm palm
beantragen solicitar
chronologie cronología
generation generación
}} }}
begeisterung entusiasmo
nutzern usuarios
lösen solucionar
kleineren pequeños
dezember diciembre
diktatur dictadura
under under
rolle papel
turnieren torneos
erwähnung mención
garden garden
szene escena
ressourcen recursos
konzept concepto
chemiker químico
petersburg petersburgo
neutralität neutralidad
nevada nevada
kaiserin emperatriz
beendet finalizado
erwartete esperado
historical historical
shift shift
verlangt exige
organisationen organizaciones
zusätzliche adicional
henderson henderson
ethnischen étnicos
existierten existían
versuchten intentaron
mercury mercury
kim kim
trafen reunieron
herstellung fabricación
plattenlabel discográfico
suizid suicidio
ausgewählten seleccionados
gebrochen rompiendo
hergestellten fabricados
jason jason
empire empire
votum voto
hunter hunter
gp gp
